Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Medical City Fort Worth,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$3,648.24",TX
Medical City Fort Worth,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$11,992.32",TX
Medical City Fort Worth,Emergency Care,HCPCS 99281,Emergency Level 1,$583.20,TX
Medical City Fort Worth,Emergency Care,HCPCS 99282,Emergency Level 2,$988.20,TX
Medical City Fort Worth,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,270.16",TX
Medical City Fort Worth,Emergency Care,HCPCS 99284,Emergency Level 4,"$3,627.72",TX
Medical City Fort Worth,Emergency Care,HCPCS 99285,Emergency Level 5,"$5,276.88",TX
Medical City Fort Worth,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$157.62,TX
Medical City Fort Worth,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$188.51,TX
Medical City Fort Worth,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$142.71,TX
Medical City Fort Worth,Blood,HCPCS 85018,"Blood count, hemoglobin",$135.26,TX
Medical City Fort Worth,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$135.26,TX
Medical City Fort Worth,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$396.18,TX
Medical City Fort Worth,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$543.15,TX
Medical City Fort Worth,Blood,HCPCS 85610,"Blood test, clotting time",$289.68,TX
Medical City Fort Worth,Blood,HCPCS 85730,Coagulation assessment blood test,$354.65,TX
Medical City Fort Worth,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$335.48,TX
Medical City Fort Worth,Blood,HCPCS 85027,"Complete blood count, automated",$391.92,TX
Medical City Fort Worth,Blood,HCPCS 85008,Microscopic examination for white blood cells,$113.96,TX
Medical City Fort Worth,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$158.69,TX
Medical City Fort Worth,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$783.84,TX
Medical City Fort Worth,Blood,HCPCS 85660,Red blood cell sickling measurement,$92.66,TX
Medical City Fort Worth,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$737.64,TX
Medical City Fort Worth,Blood,HCPCS 85041,"Red blood count, automated test",$178.92,TX
Medical City Fort Worth,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,"$1,810.50",TX
Medical City Fort Worth,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,"$1,083.11",TX
Medical City Fort Worth,Chemistry,HCPCS 82040,Albumin (protein) level,$309.92,TX
Medical City Fort Worth,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$451.56,TX
Medical City Fort Worth,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$492.03,TX
Medical City Fort Worth,Chemistry,HCPCS 82140,Ammonia level,$558.06,TX
Medical City Fort Worth,Chemistry,HCPCS 82150,Amylase (enzyme) level,$424.94,TX
Medical City Fort Worth,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$596.40,TX
Medical City Fort Worth,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,"$1,132.10",TX
Medical City Fort Worth,Chemistry,HCPCS 84439,Assay of free thyroxine,$447.30,TX
Medical City Fort Worth,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$654.98,TX
Medical City Fort Worth,Chemistry,HCPCS 82248,Bilirubin level (Direct),$453.69,TX
Medical City Fort Worth,Chemistry,HCPCS 82247,Bilirubin level (Total),$363.17,TX
Medical City Fort Worth,Chemistry,HCPCS 82565,Blood creatinine level,$344.00,TX
Medical City Fort Worth,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$291.81,TX
Medical City Fort Worth,Chemistry,HCPCS 84295,Blood sodium level,$340.80,TX
Medical City Fort Worth,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$567.65,TX
Medical City Fort Worth,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$340.80,TX
Medical City Fort Worth,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$621.96,TX
Medical City Fort Worth,Chemistry,HCPCS 82310,Calcium level,$357.84,TX
Medical City Fort Worth,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$309.92,TX
Medical City Fort Worth,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$728.46,TX
Medical City Fort Worth,Chemistry,HCPCS 82465,Cholesterol level,$310.98,TX
Medical City Fort Worth,Chemistry,HCPCS 82525,Copper level,$471.80,TX
Medical City Fort Worth,Chemistry,HCPCS 82533,Cortisol Measurement,$482.45,TX
Medical City Fort Worth,Chemistry,HCPCS 84681,C-peptide (protein) level,$476.06,TX
Medical City Fort Worth,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$570.84,TX
Medical City Fort Worth,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$451.56,TX
Medical City Fort Worth,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,"$1,160.85",TX
Medical City Fort Worth,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level","$1,545.32",TX
Medical City Fort Worth,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$451.56,TX
Medical City Fort Worth,Chemistry,HCPCS 82746,Folic acid; serum,$493.10,TX
Medical City Fort Worth,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$344.00,TX
Medical City Fort Worth,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$414.29,TX
Medical City Fort Worth,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$418.55,TX
Medical City Fort Worth,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",$880.76,TX
Medical City Fort Worth,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$489.90,TX
Medical City Fort Worth,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$477.12,TX
Medical City Fort Worth,Chemistry,HCPCS 83718,HDL cholesterol level,$440.91,TX
Medical City Fort Worth,Chemistry,HCPCS 83020,Hemoglobin Measurement,$392.99,TX
Medical City Fort Worth,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$916.97,TX
Medical City Fort Worth,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$731.66,TX
Medical City Fort Worth,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,"$1,000.04",TX
Medical City Fort Worth,Chemistry,HCPCS 83525,Insulin Measurement; Total,$440.91,TX
Medical City Fort Worth,Chemistry,HCPCS 82330,Ionized Calcium,$596.40,TX
Medical City Fort Worth,Chemistry,HCPCS 83550,Iron Binding Capacity,$484.58,TX
Medical City Fort Worth,Chemistry,HCPCS 83540,Iron level,$428.13,TX
Medical City Fort Worth,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$386.60,TX
Medical City Fort Worth,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$531.44,TX
Medical City Fort Worth,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$414.29,TX
Medical City Fort Worth,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$541.02,TX
Medical City Fort Worth,Chemistry,HCPCS 83735,Magnesium Level,$489.90,TX
Medical City Fort Worth,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$478.19,TX
Medical City Fort Worth,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$198.09,TX
Medical City Fort Worth,Chemistry,HCPCS 83918,Organic acid level,$711.42,TX
Medical City Fort Worth,Chemistry,HCPCS 83945,Oxalate level,$646.46,TX
Medical City Fort Worth,Chemistry,HCPCS 83970,Parathormone,"$1,062.87",TX
Medical City Fort Worth,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$300.33,TX
Medical City Fort Worth,Chemistry,HCPCS 84157,Prealbumin (protein) level,$314.18,TX
Medical City Fort Worth,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,"$1,144.88",TX
Medical City Fort Worth,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$581.49,TX
Medical City Fort Worth,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$718.88,TX
Medical City Fort Worth,Chemistry,HCPCS 82270,Stool analysis for blood,$189.57,TX
Medical City Fort Worth,Chemistry,HCPCS 84403,Testosterone (hormone) level,$924.42,TX
Medical City Fort Worth,Chemistry,HCPCS 84402,Testosterone Level; Free,$924.42,TX
Medical City Fort Worth,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$502.68,TX
Medical City Fort Worth,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,"$1,170.44",TX
Medical City Fort Worth,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$508.01,TX
Medical City Fort Worth,Chemistry,HCPCS 84155,"Total protein level, blood",$314.18,TX
Medical City Fort Worth,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$282.23,TX
Medical City Fort Worth,Chemistry,HCPCS 84166,Troponin (protein) analysis,$473.93,TX
Medical City Fort Worth,Chemistry,HCPCS 84560,Uric acid level,$282.23,TX
Medical City Fort Worth,Chemistry,HCPCS 84550,"Uric acid level, blood",$314.18,TX
Medical City Fort Worth,Chemistry,HCPCS 82340,Urine calcium level,$385.53,TX
Medical City Fort Worth,Chemistry,HCPCS 82436,Urine chloride level,$325.89,TX
Medical City Fort Worth,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$373.82,TX
Medical City Fort Worth,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$368.49,TX
Medical City Fort Worth,Chemistry,HCPCS 84120,Urine porphyrins (metabolism substance) measurement,$548.48,TX
Medical City Fort Worth,Chemistry,HCPCS 84133,Urine potassium level,$368.49,TX
Medical City Fort Worth,Chemistry,HCPCS 84300,Urine sodium level,$368.49,TX
Medical City Fort Worth,Chemistry,HCPCS 84591,Vitamin B-6 level,$612.38,TX
Medical City Fort Worth,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,"$1,233.27",TX
Medical City Fort Worth,Chemistry,HCPCS 84630,Zinc level,$389.79,TX
Medical City Fort Worth,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$459.02,TX
Medical City Fort Worth,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$510.14,TX
Medical City Fort Worth,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$320.57,TX
Medical City Fort Worth,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,$699.71,TX
Medical City Fort Worth,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$797.69,TX
Medical City Fort Worth,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$560.19,TX
Medical City Fort Worth,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$404.70,TX
Medical City Fort Worth,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$380.21,TX
Medical City Fort Worth,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,$597.47,TX
Medical City Fort Worth,Immunology,HCPCS 86334,Immunologic analysis technique on body fluid; Immunofixation electrophoresis,$944.66,TX
Medical City Fort Worth,Immunology,HCPCS 86140,Measurement C-reactive protein,$476.06,TX
Medical City Fort Worth,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$209.81,TX
Medical City Fort Worth,Immunology,HCPCS 86161,Measurement of Complement (Immune System Proteins),$379.14,TX
Medical City Fort Worth,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$407.90,TX
Medical City Fort Worth,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$451.56,TX
Medical City Fort Worth,Immunology,HCPCS 86431,Rheumatoid factor level,$316.31,TX
Medical City Fort Worth,Immunology,HCPCS 86255,Screening test for antibody to noninfectious agent,$718.88,TX
Medical City Fort Worth,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$297.14,TX
Medical City Fort Worth,Immunology,HCPCS 86580,Skin test for tuberculosis,$201.29,TX
Medical City Fort Worth,Immunology,HCPCS 86592,Syphilis Detection Test,$314.18,TX
Medical City Fort Worth,Immunology,HCPCS 86361,T cell count and ratio,$300.33,TX
Medical City Fort Worth,Immunology,HCPCS 86360,"T cells; absolute CD4 and CD8 count, including ratio","$2,943.66",TX
Medical City Fort Worth,Immunology,HCPCS 86359,"T cells count, total",$195.96,TX
Medical City Fort Worth,Immunology,HCPCS 86800,Thyroglobulin (thyroid protein) antibody measurement,$435.59,TX
Medical City Fort Worth,Microbiology,HCPCS 87147,Analysis for antibody bordetella (respiratory bacteria),$55.38,TX
Medical City Fort Worth,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$344.00,TX
Medical City Fort Worth,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$316.31,TX
Medical City Fort Worth,Microbiology,HCPCS 87491,Chlamydia Test,$283.29,TX
Medical City Fort Worth,Microbiology,HCPCS 87635,Covid-19 current infection test,$56.10,TX
Medical City Fort Worth,Microbiology,HCPCS 87493,Detection test for clostridium difficile,$902.06,TX
Medical City Fort Worth,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),$745.50,TX
Medical City Fort Worth,Microbiology,HCPCS 87497,"Detection test for cytomegalovirus, quantification","$1,337.64",TX
