Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Medical City Plano,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,937.24",TX
Medical City Plano,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$6,536.97",TX
Medical City Plano,Emergency Care,HCPCS 99281,Emergency Level 1,$659.24,TX
Medical City Plano,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,287.59",TX
Medical City Plano,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,066.10",TX
Medical City Plano,Emergency Care,HCPCS 99284,Emergency Level 4,"$3,263.16",TX
Medical City Plano,Emergency Care,HCPCS 99285,Emergency Level 5,"$5,941.64",TX
Medical City Plano,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$295.00,TX
Medical City Plano,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$434.00,TX
Medical City Plano,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$231.00,TX
Medical City Plano,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$353.00,TX
Medical City Plano,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$194.00,TX
Medical City Plano,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$291.00,TX
Medical City Plano,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$387.00,TX
Medical City Plano,Blood,HCPCS 85018,"Blood count, hemoglobin",$261.36,TX
Medical City Plano,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$223.56,TX
Medical City Plano,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$660.96,TX
Medical City Plano,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$992.52,TX
Medical City Plano,Blood,HCPCS 85610,"Blood test, clotting time",$273.24,TX
Medical City Plano,Blood,HCPCS 85730,Coagulation assessment blood test,$500.04,TX
Medical City Plano,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$333.72,TX
Medical City Plano,Blood,HCPCS 85027,"Complete blood count, automated",$423.36,TX
Medical City Plano,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$114.48,TX
Medical City Plano,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$545.40,TX
