Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Medical City Weatherford,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,870.00",TX
Medical City Weatherford,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$6,600.00",TX
Medical City Weatherford,Emergency Care,HCPCS 99281,Emergency Level 1,$689.75,TX
Medical City Weatherford,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,034.00",TX
Medical City Weatherford,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,378.00",TX
Medical City Weatherford,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,065.00",TX
Medical City Weatherford,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,740.00",TX
Medical City Weatherford,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$992.25,TX
Medical City Weatherford,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,465.00",TX
Medical City Weatherford,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$781.00,TX
Medical City Weatherford,Blood,HCPCS 85018,"Blood count, hemoglobin",$182.50,TX
Medical City Weatherford,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$174.00,TX
Medical City Weatherford,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$679.50,TX
Medical City Weatherford,Blood,HCPCS 85610,"Blood test, clotting time",$286.75,TX
Medical City Weatherford,Blood,HCPCS 85730,Coagulation assessment blood test,$380.00,TX
Medical City Weatherford,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$417.50,TX
Medical City Weatherford,Blood,HCPCS 85027,"Complete blood count, automated",$431.50,TX
Medical City Weatherford,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$234.00,TX
Medical City Weatherford,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$521.75,TX
Medical City Weatherford,Blood,HCPCS 85660,Red blood cell sickling measurement,$247.00,TX
Medical City Weatherford,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$2,575.00",TX
Medical City Weatherford,Blood,HCPCS 85041,"Red blood count, automated test",$166.50,TX
Medical City Weatherford,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,"$1,147.00",TX
Medical City Weatherford,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$927.50,TX
Medical City Weatherford,Chemistry,HCPCS 82040,Albumin (protein) level,$283.50,TX
Medical City Weatherford,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$490.50,TX
Medical City Weatherford,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$503.50,TX
Medical City Weatherford,Chemistry,HCPCS 82140,Ammonia level,$427.25,TX
Medical City Weatherford,Chemistry,HCPCS 82150,Amylase (enzyme) level,$413.25,TX
Medical City Weatherford,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$518.50,TX
Medical City Weatherford,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,"$1,366.00",TX
Medical City Weatherford,Chemistry,HCPCS 84439,Assay of free thyroxine,$404.75,TX
Medical City Weatherford,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$508.75,TX
Medical City Weatherford,Chemistry,HCPCS 82248,Bilirubin level (Direct),$356.50,TX
Medical City Weatherford,Chemistry,HCPCS 82247,Bilirubin level (Total),$339.25,TX
Medical City Weatherford,Chemistry,HCPCS 82565,Blood creatinine level,$329.50,TX
Medical City Weatherford,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$282.25,TX
Medical City Weatherford,Chemistry,HCPCS 84295,Blood sodium level,$232.00,TX
Medical City Weatherford,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$510.00,TX
Medical City Weatherford,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$267.25,TX
Medical City Weatherford,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$657.00,TX
Medical City Weatherford,Chemistry,HCPCS 82310,Calcium level,$368.25,TX
Medical City Weatherford,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$268.50,TX
Medical City Weatherford,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$543.25,TX
Medical City Weatherford,Chemistry,HCPCS 82465,Cholesterol level,$320.00,TX
Medical City Weatherford,Chemistry,HCPCS 82525,Copper level,$580.75,TX
Medical City Weatherford,Chemistry,HCPCS 82533,Cortisol Measurement,$642.00,TX
Medical City Weatherford,Chemistry,HCPCS 84681,C-peptide (protein) level,$532.50,TX
Medical City Weatherford,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$365.00,TX
Medical City Weatherford,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$456.25,TX
Medical City Weatherford,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$997.25,TX
Medical City Weatherford,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$897.50,TX
Medical City Weatherford,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$491.75,TX
Medical City Weatherford,Chemistry,HCPCS 82746,Folic acid; serum,$474.50,TX
Medical City Weatherford,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$321.00,TX
Medical City Weatherford,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$430.50,TX
Medical City Weatherford,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$263.00,TX
Medical City Weatherford,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",$774.00,TX
Medical City Weatherford,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$673.00,TX
Medical City Weatherford,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$385.50,TX
Medical City Weatherford,Chemistry,HCPCS 83718,HDL cholesterol level,$408.00,TX
Medical City Weatherford,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$586.25,TX
Medical City Weatherford,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$518.50,TX
Medical City Weatherford,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$734.25,TX
Medical City Weatherford,Chemistry,HCPCS 83525,Insulin Measurement; Total,$432.75,TX
Medical City Weatherford,Chemistry,HCPCS 82330,Ionized Calcium,$414.50,TX
Medical City Weatherford,Chemistry,HCPCS 83550,Iron Binding Capacity,$349.00,TX
Medical City Weatherford,Chemistry,HCPCS 83540,Iron level,$462.75,TX
Medical City Weatherford,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$338.25,TX
Medical City Weatherford,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$432.75,TX
Medical City Weatherford,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$400.50,TX
Medical City Weatherford,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$630.25,TX
Medical City Weatherford,Chemistry,HCPCS 83021,Liver function blood test panel,$347.75,TX
Medical City Weatherford,Chemistry,HCPCS 83735,Magnesium Level,$342.50,TX
Medical City Weatherford,Chemistry,HCPCS 82542,Mass spectrometry,$536.75,TX
Medical City Weatherford,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$398.25,TX
Medical City Weatherford,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$416.50,TX
Medical City Weatherford,Chemistry,HCPCS 83918,Organic acid level,$865.25,TX
Medical City Weatherford,Chemistry,HCPCS 83945,Oxalate level,$449.75,TX
Medical City Weatherford,Chemistry,HCPCS 83970,Parathormone,"$1,316.00",TX
Medical City Weatherford,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$388.75,TX
Medical City Weatherford,Chemistry,HCPCS 84157,Prealbumin (protein) level,$289.75,TX
Medical City Weatherford,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$138.50,TX
Medical City Weatherford,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$766.50,TX
Medical City Weatherford,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$635.50,TX
Medical City Weatherford,Chemistry,HCPCS 82270,Stool analysis for blood,$170.75,TX
Medical City Weatherford,Chemistry,HCPCS 84403,Testosterone (hormone) level,$865.25,TX
Medical City Weatherford,Chemistry,HCPCS 84402,Testosterone Level; Free,$743.00,TX
Medical City Weatherford,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$375.75,TX
Medical City Weatherford,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,"$1,103.00",TX
Medical City Weatherford,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$401.50,TX
Medical City Weatherford,Chemistry,HCPCS 84155,"Total protein level, blood",$444.50,TX
Medical City Weatherford,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$325.25,TX
Medical City Weatherford,Chemistry,HCPCS 84166,Troponin (protein) analysis,$628.00,TX
Medical City Weatherford,Chemistry,HCPCS 84560,Uric acid level,$337.00,TX
Medical City Weatherford,Chemistry,HCPCS 84550,"Uric acid level, blood",$360.75,TX
Medical City Weatherford,Chemistry,HCPCS 82340,Urine calcium level,$350.00,TX
Medical City Weatherford,Chemistry,HCPCS 82436,Urine chloride level,$214.75,TX
Medical City Weatherford,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$369.25,TX
Medical City Weatherford,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$293.00,TX
Medical City Weatherford,Chemistry,HCPCS 84120,Urine porphyrins (metabolism substance) measurement,$549.75,TX
Medical City Weatherford,Chemistry,HCPCS 84133,Urine potassium level,$254.50,TX
Medical City Weatherford,Chemistry,HCPCS 84300,Urine sodium level,$244.75,TX
Medical City Weatherford,Chemistry,HCPCS 84591,Vitamin B-6 level,$464.75,TX
Medical City Weatherford,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$949.00,TX
Medical City Weatherford,Chemistry,HCPCS 84630,Zinc level,$410.00,TX
Medical City Weatherford,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$584.00,TX
Medical City Weatherford,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$506.75,TX
Medical City Weatherford,Immunology,HCPCS 86694,Analysis for antibody to Herpes simplex virus,$353.25,TX
Medical City Weatherford,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$340.25,TX
Medical City Weatherford,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,$473.50,TX
Medical City Weatherford,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$629.00,TX
Medical City Weatherford,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$586.25,TX
Medical City Weatherford,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$474.50,TX
