Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Methodist Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,995.40",TX
Methodist Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,998.04",TX
Methodist Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$449.33,TX
Methodist Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$798.42,TX
Methodist Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,773.65",TX
Methodist Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,520.27",TX
Methodist Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$3,263.19",TX
Methodist Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$870.00,TX
Methodist Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,064.00",TX
Methodist Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$676.00,TX
Methodist Hospital,Psychology,HCPCS 90853,Group psychotherapy,$449.99,TX
Methodist Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$800.34,TX
Methodist Hospital,Speech,HCPCS 92507,Speech Therapy,"$1,097.55",TX
Methodist Hospital,Speech,HCPCS 92610,Swallow Evaluation,$507.31,TX
Methodist Hospital,Speech,HCPCS 92526,Swallow Treatment,$507.31,TX
Methodist Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$154.56,TX
Methodist Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$154.56,TX
Methodist Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$154.56,TX
Methodist Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$790.12,TX
Methodist Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$222.57,TX
Methodist Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$222.57,TX
Methodist Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$783.94,TX
Methodist Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$278.21,TX
Methodist Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$178.06,TX
Methodist Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,"$1,125.21",TX
Methodist Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$210.20,TX
Methodist Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$834.68,TX
Methodist Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$994.14,TX
