Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Northwest Texas Surgical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,231.40",TX
Northwest Texas Surgical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,695.25",TX
Northwest Texas Surgical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$170.72,TX
Northwest Texas Surgical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$271.15,TX
Northwest Texas Surgical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$541.15,TX
Northwest Texas Surgical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$882.30,TX
Northwest Texas Surgical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,395.64",TX
Northwest Texas Surgical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$279.55,TX
Northwest Texas Surgical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$170.41,TX
Northwest Texas Surgical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$225.49,TX
Northwest Texas Surgical Center,Psychology,HCPCS 90853,Group psychotherapy,$567.08,TX
Northwest Texas Surgical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$179.60,TX
Northwest Texas Surgical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$114.97,TX
Northwest Texas Surgical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$201.12,TX
Northwest Texas Surgical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$174.17,TX
Northwest Texas Surgical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$338.78,TX
Northwest Texas Surgical Center,Speech,HCPCS 92507,Speech Therapy,$239.54,TX
Northwest Texas Surgical Center,Speech,HCPCS 92610,Swallow Evaluation,$328.48,TX
