Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Parmer Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,664.08",TX
Parmer Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$496.99,TX
Parmer Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$496.99,TX
Parmer Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$496.99,TX
Parmer Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$496.99,TX
Parmer Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$496.99,TX
Parmer Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$84.88,TX
Parmer Medical Center,Speech,HCPCS 92507,Speech Therapy,$119.00,TX
Parmer Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$21.70,TX
Parmer Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$21.70,TX
Parmer Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$63.09,TX
Parmer Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$50.58,TX
Parmer Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$57.75,TX
Parmer Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$50.58,TX
Parmer Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$50.58,TX
Parmer Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$140.70,TX
Parmer Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$101.68,TX
Parmer Medical Center,Chemistry,HCPCS 82140,Ammonia level,$82.95,TX
Parmer Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$57.75,TX
Parmer Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$145.55,TX
Parmer Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$79.25,TX
Parmer Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$46.59,TX
Parmer Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$14.13,TX
Parmer Medical Center,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$14.13,TX
Parmer Medical Center,Chemistry,HCPCS 84132,Blood potassium level,$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$79.45,TX
Parmer Medical Center,Chemistry,HCPCS 82310,Calcium level,$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 82525,Copper level,$82.95,TX
Parmer Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$79.45,TX
Parmer Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$108.15,TX
Parmer Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$43.99,TX
Parmer Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$82.95,TX
Parmer Medical Center,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$86.63,TX
Parmer Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$154.35,TX
Parmer Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$71.40,TX
Parmer Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$71.40,TX
Parmer Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$44.80,TX
Parmer Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$53.38,TX
Parmer Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$91.00,TX
Parmer Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$88.73,TX
Parmer Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$72.10,TX
Parmer Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$50.58,TX
Parmer Medical Center,Chemistry,HCPCS 83540,Iron level,$36.05,TX
Parmer Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$61.43,TX
Parmer Medical Center,Chemistry,HCPCS 83721,LDL cholesterol level,$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$57.75,TX
Parmer Medical Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$54.08,TX
Parmer Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$57.75,TX
Parmer Medical Center,Chemistry,HCPCS 83945,Oxalate level,$59.15,TX
Parmer Medical Center,Chemistry,HCPCS 83970,Parathormone,$93.80,TX
Parmer Medical Center,Chemistry,HCPCS 84157,Prealbumin (protein) level,$43.84,TX
Parmer Medical Center,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$172.38,TX
Parmer Medical Center,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$94.50,TX
Parmer Medical Center,Chemistry,HCPCS 84403,Testosterone (hormone) level,$108.15,TX
Parmer Medical Center,Chemistry,HCPCS 84402,Testosterone Level; Free,$108.15,TX
Parmer Medical Center,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$79.25,TX
Parmer Medical Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$43.84,TX
Parmer Medical Center,Chemistry,HCPCS 84560,Uric acid level,$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 82340,Urine calcium level,$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$39.13,TX
Parmer Medical Center,Chemistry,HCPCS 84133,Urine potassium level,$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 84300,Urine sodium level,$43.40,TX
Parmer Medical Center,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$154.35,TX
Parmer Medical Center,Chemistry,HCPCS 84630,Zinc level,$87.33,TX
Parmer Medical Center,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$93.80,TX
Parmer Medical Center,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,$59.73,TX
Parmer Medical Center,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$70.53,TX
Parmer Medical Center,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$54.08,TX
Parmer Medical Center,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$70.53,TX
Parmer Medical Center,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$70.53,TX
Parmer Medical Center,Immunology,HCPCS 86334,Immunofixation electrophoresis; serum,$108.15,TX
Parmer Medical Center,Immunology,HCPCS 86140,Measurement C-reactive protein,$71.18,TX
Parmer Medical Center,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$14.53,TX
Parmer Medical Center,Immunology,HCPCS 86255,Measurement of antibody to noninfectious agent,$82.25,TX
Parmer Medical Center,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$74.38,TX
Parmer Medical Center,Immunology,HCPCS 86431,Rheumatoid factor level,$42.00,TX
Parmer Medical Center,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$50.58,TX
Parmer Medical Center,Immunology,HCPCS 86580,Skin test for tuberculosis,$6.30,TX
Parmer Medical Center,Immunology,HCPCS 86592,Syphilis Detection Test,$28.88,TX
Parmer Medical Center,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$75.01,TX
Parmer Medical Center,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$57.75,TX
Parmer Medical Center,Microbiology,HCPCS 87491,Chlamydia Test,$68.60,TX
Parmer Medical Center,Microbiology,HCPCS 87635,Covid-19 current infection test,$105.00,TX
Parmer Medical Center,Microbiology,HCPCS 87493,Detection test for clostridium difficile,$98.18,TX
Parmer Medical Center,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,$70.53,TX
Parmer Medical Center,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$68.60,TX
Parmer Medical Center,Microbiology,HCPCS 86735,Mumps virus antibody test,$64.93,TX
Parmer Medical Center,Microbiology,HCPCS 86762,Rubella virus antibody test,$54.08,TX
Parmer Medical Center,Microbiology,HCPCS 86765,Rubeola virus antibody test,$57.75,TX
Parmer Medical Center,Microbiology,HCPCS 87177,Smear for Parasites,$70.70,TX
Parmer Medical Center,Microbiology,HCPCS 87045,Stool Culture,$93.80,TX
Parmer Medical Center,Microbiology,HCPCS 87880,Strep Test,$38.29,TX
Parmer Medical Center,Microbiology,HCPCS 87804,Test for Influenza Virus,$42.66,TX
Parmer Medical Center,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,$54.08,TX
Parmer Medical Center,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,$234.33,TX
Parmer Medical Center,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$54.08,TX
Parmer Medical Center,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$86.52,TX
Parmer Medical Center,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$82.95,TX
Parmer Medical Center,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$62.13,TX
Parmer Medical Center,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$64.93,TX
Parmer Medical Center,Therapeutic Drug Assays,HCPCS 80162,Digoxin level,$72.10,TX
Parmer Medical Center,Therapeutic Drug Assays,HCPCS 80185,Phenytoin level,$85.23,TX
Parmer Medical Center,Therapeutic Drug Assays,HCPCS 80164,Valproic acid level,$72.10,TX
Parmer Medical Center,Therapeutic Drug Assays,HCPCS 80202,Vancomycin (antibiotic) level,$103.95,TX
Parmer Medical Center,Transfusion,HCPCS 86900,"Blood Typing, ABO",$49.12,TX
Parmer Medical Center,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$49.12,TX
Parmer Medical Center,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,$102.00,TX
Parmer Medical Center,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$29.94,TX
Parmer Medical Center,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$29.94,TX
Parmer Medical Center,Urinalysis,HCPCS 81025,Urine Pregnancy Test,$45.47,TX
