Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Permian Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,420.84",TX
Permian Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$698.39,TX
Permian Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$698.39,TX
Permian Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$698.39,TX
Permian Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$698.39,TX
Permian Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$698.39,TX
Permian Regional Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$87.93,TX
Permian Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$87.93,TX
Permian Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$87.93,TX
Permian Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$87.93,TX
Permian Regional Medical Center,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$87.93,TX
Permian Regional Medical Center,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$87.93,TX
Permian Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$185.27,TX
Permian Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$359.52,TX
Permian Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$38.61,TX
Permian Regional Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$37.89,TX
Permian Regional Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$45.43,TX
Permian Regional Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$45.43,TX
Permian Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$38.10,TX
Permian Regional Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$66.00,TX
Permian Regional Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$60.74,TX
Permian Regional Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$60.74,TX
Permian Regional Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$28.33,TX
Permian Regional Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$135.38,TX
Permian Regional Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$34.30,TX
Permian Regional Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$47.11,TX
Permian Regional Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$82.08,TX
Permian Regional Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$111.94,TX
Permian Regional Medical Center,Chemistry,HCPCS 82140,Ammonia level,$96.48,TX
Permian Regional Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$85.21,TX
