Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Brigham City Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,975.31",UT
Brigham City Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,985.84",UT
Brigham City Community Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$343.67,UT
Brigham City Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$810.23,UT
Brigham City Community Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,464.91",UT
Brigham City Community Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,618.82",UT
Brigham City Community Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$3,459.75",UT
Brigham City Community Hospital,Speech,HCPCS 92507,Speech Therapy,$248.11,UT
Brigham City Community Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$85.19,UT
Brigham City Community Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$85.19,UT
Brigham City Community Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$162.92,UT
Brigham City Community Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$129.02,UT
Brigham City Community Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$74.02,UT
Brigham City Community Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$112.89,UT
Brigham City Community Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$124.06,UT
Brigham City Community Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$81.46,UT
Brigham City Community Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$459.83,UT
Brigham City Community Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$481.05,UT
Brigham City Community Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$221.65,UT
Brigham City Community Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$655.03,UT
Brigham City Community Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$124.88,UT
Brigham City Community Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$134.40,UT
Brigham City Community Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$272.92,UT
Brigham City Community Hospital,Chemistry,HCPCS 82140,Ammonia level,$373.83,UT
Brigham City Community Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$160.46,UT
Brigham City Community Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$135.23,UT
Brigham City Community Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$307.66,UT
Brigham City Community Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$344.06,UT
Brigham City Community Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$168.72,UT
