Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Lakeview Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,598.46",UT
Lakeview Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$6,148.99",UT
Lakeview Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$51.41,UT
Lakeview Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$856.11,UT
Lakeview Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,619.67",UT
Lakeview Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,695.60",UT
Lakeview Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$3,896.87",UT
Lakeview Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,008.39",UT
Lakeview Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,519.86",UT
Lakeview Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$417.70,UT
Lakeview Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$671.29,UT
Lakeview Hospital,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$529.24,UT
Lakeview Hospital,Psychology,HCPCS 90853,Group psychotherapy,$294.81,UT
Lakeview Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$555.33,UT
Lakeview Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$472.06,UT
Lakeview Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$529.24,UT
Lakeview Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$539.83,UT
Lakeview Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$58.35,UT
Lakeview Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$58.35,UT
Lakeview Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$110.48,UT
Lakeview Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$263.16,UT
Lakeview Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$95.59,UT
Lakeview Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$115.01,UT
Lakeview Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$110.48,UT
Lakeview Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$582.58,UT
Lakeview Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$1,686.19",UT
Lakeview Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$647.10,UT
