Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Ogden Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$3,173.32",UT
Ogden Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$9,519.96",UT
Ogden Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$509.35,UT
Ogden Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,109.22",UT
Ogden Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,149.00",UT
Ogden Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$3,645.49",UT
Ogden Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$4,824.19",UT
Ogden Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$408.00,UT
Ogden Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$510.00,UT
Ogden Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$306.00,UT
Ogden Regional Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$472.72,UT
Ogden Regional Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$472.72,UT
Ogden Regional Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$677.49,UT
Ogden Regional Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$472.72,UT
Ogden Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$60.95,UT
Ogden Regional Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$60.95,UT
Ogden Regional Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$90.37,UT
Ogden Regional Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$138.02,UT
Ogden Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$76.69,UT
Ogden Regional Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$95.75,UT
Ogden Regional Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$167.88,UT
Ogden Regional Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$77.51,UT
Ogden Regional Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$361.43,UT
Ogden Regional Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$115.20,UT
Ogden Regional Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$564.79,UT
Ogden Regional Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$663.17,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$562.03,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$69.62,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$293.44,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$220.51,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82140,Ammonia level,$235.43,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$213.88,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$324.94,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$59.22,UT
Ogden Regional Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$116.47,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$240.41,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$115.20,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$115.20,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$76.69,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$72.12,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$26.52,UT
Ogden Regional Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$57.61,UT
Ogden Regional Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$100.72,UT
Ogden Regional Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$86.63,UT
Ogden Regional Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$167.88,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82310,Calcium level,$91.18,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$78.75,UT
Ogden Regional Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$306.71,UT
