Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Sevier Valley Regional Medical Centr,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$186.89,UT
Sevier Valley Regional Medical Centr,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$381.99,UT
Sevier Valley Regional Medical Centr,Emergency Care,HCPCS 99281,Emergency Level 1,$246.25,UT
Sevier Valley Regional Medical Centr,Emergency Care,HCPCS 99282,Emergency Level 2,$369.37,UT
Sevier Valley Regional Medical Centr,Emergency Care,HCPCS 99283,Emergency Level 3,$615.61,UT
Sevier Valley Regional Medical Centr,Emergency Care,HCPCS 99284,Emergency Level 4,$323.81,UT
Sevier Valley Regional Medical Centr,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,723.70",UT
Sevier Valley Regional Medical Centr,Speech,HCPCS 92610,Swallow Evaluation,$313.17,UT
Sevier Valley Regional Medical Centr,Blood,HCPCS 85018,"Blood count, hemoglobin",$14.96,UT
Sevier Valley Regional Medical Centr,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$15.47,UT
Sevier Valley Regional Medical Centr,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$37.42,UT
Sevier Valley Regional Medical Centr,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$67.10,UT
Sevier Valley Regional Medical Centr,Blood,HCPCS 85610,"Blood test, clotting time",$31.00,UT
Sevier Valley Regional Medical Centr,Blood,HCPCS 85730,Coagulation assessment blood test,$31.00,UT
Sevier Valley Regional Medical Centr,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$52.00,UT
Sevier Valley Regional Medical Centr,Blood,HCPCS 85027,"Complete blood count, automated",$42.00,UT
Sevier Valley Regional Medical Centr,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$51.32,UT
Sevier Valley Regional Medical Centr,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$75.80,UT
Sevier Valley Regional Medical Centr,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$633.17,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$65.57,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82040,Albumin (protein) level,$18.92,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$22.06,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$100.49,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82140,Ammonia level,$69.71,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82150,Amylase (enzyme) level,$49.31,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$47.69,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 84439,Assay of free thyroxine,$52.27,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$35.33,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82248,Bilirubin level (Direct),$29.95,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82247,Bilirubin level (Total),$29.13,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82565,Blood creatinine level,$46.21,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$26.11,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 84132,Blood potassium level,$30.38,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 84295,Blood sodium level,$19.80,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$24.62,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$62.00,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82310,Calcium level,$26.17,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$37.55,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82465,Cholesterol level,$25.22,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82525,Copper level,$42.08,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82533,Cortisol Measurement,$26.06,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 84681,C-peptide (protein) level,$37.55,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$50.03,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$76.67,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$101.87,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$75.71,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$64.50,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82746,Folic acid; serum,$72.13,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$30.46,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$35.52,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$68.60,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",$70.04,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$69.85,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$75.51,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$73.70,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$61.43,UT
Sevier Valley Regional Medical Centr,Chemistry,HCPCS 83520,IgE (immune system protein) level,$310.81,UT
