Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
St Marks Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$4,431.23",UT
St Marks Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$7,207.01",UT
St Marks Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$516.33,UT
St Marks Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,112.60",UT
St Marks Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,832.01",UT
St Marks Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$3,052.75",UT
St Marks Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$3,977.26",UT
St Marks Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$296.33,UT
St Marks Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,060.52",UT
St Marks Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$202.75,UT
St Marks Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$627.79,UT
St Marks Hospital,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$311.31,UT
St Marks Hospital,Psychology,HCPCS 90853,Group psychotherapy,$311.31,UT
St Marks Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$627.79,UT
St Marks Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$627.79,UT
St Marks Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$627.79,UT
St Marks Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$627.79,UT
St Marks Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$132.60,UT
St Marks Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$34.04,UT
St Marks Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$122.11,UT
St Marks Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$273.88,UT
St Marks Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$44.92,UT
St Marks Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$139.38,UT
St Marks Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$113.82,UT
