Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Utah Valley Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$363.90,UT
Utah Valley Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$545.84,UT
Utah Valley Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$909.73,UT
Utah Valley Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,637.51",UT
Utah Valley Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,547.25",UT
Utah Valley Regional Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$23.06,UT
Utah Valley Regional Medical Center,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$23.06,UT
Utah Valley Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$161.97,UT
Utah Valley Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$97.16,UT
Utah Valley Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$150.93,UT
Utah Valley Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$442.65,UT
Utah Valley Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$273.77,UT
Utah Valley Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$521.26,UT
Utah Valley Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,$270.54,UT
Utah Valley Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$81.92,UT
Utah Valley Regional Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$17.20,UT
Utah Valley Regional Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$41.57,UT
Utah Valley Regional Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$74.54,UT
Utah Valley Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$31.00,UT
Utah Valley Regional Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$31.00,UT
Utah Valley Regional Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$57.41,UT
Utah Valley Regional Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$52.00,UT
Utah Valley Regional Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$42.00,UT
Utah Valley Regional Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$53.76,UT
Utah Valley Regional Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$84.21,UT
Utah Valley Regional Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$703.52,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$93.55,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$72.66,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$20.93,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$24.25,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$110.25,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82140,Ammonia level,$68.67,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$53.84,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$53.00,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$211.15,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$55.91,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$39.26,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$32.99,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$32.36,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$28.88,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$54.56,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 84132,Blood potassium level,$56.63,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$20.98,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$27.36,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$62.00,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82310,Calcium level,$29.08,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$33.71,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$41.73,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$28.04,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82525,Copper level,$46.52,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$136.61,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$41.73,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$53.36,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$72.97,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$113.18,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$84.13,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$67.05,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$63.92,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$58.78,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$38.04,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$72.47,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",$76.79,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$76.92,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$83.90,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83718,HDL cholesterol level,$39.06,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$81.89,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$68.25,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83520,IgE (immune system protein) level,$58.15,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$57.42,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,$34.40,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83540,Iron level,$32.72,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$38.02,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83721,LDL cholesterol level,$33.09,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$60.38,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$17.62,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$65.89,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83021,Liver function blood test panel,$107.96,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$28.70,UT
Utah Valley Regional Medical Center,Chemistry,HCPCS 82542,Mass spectrometry,$856.15,UT
