Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Encompass Health Rehabilitation Hospital of Petersburg,Blood,HCPCS 85610,"Blood test, clotting time",$16.50,VA
Encompass Health Rehabilitation Hospital of Petersburg,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$30.00,VA
Encompass Health Rehabilitation Hospital of Petersburg,Blood,HCPCS 85027,"Complete blood count, automated",$16.50,VA
Encompass Health Rehabilitation Hospital of Petersburg,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$30.75,VA
Encompass Health Rehabilitation Hospital of Petersburg,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$32.25,VA
Encompass Health Rehabilitation Hospital of Petersburg,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$39.00,VA
Encompass Health Rehabilitation Hospital of Petersburg,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$33.75,VA
Encompass Health Rehabilitation Hospital of Petersburg,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$33.00,VA
Encompass Health Rehabilitation Hospital of Petersburg,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$21.00,VA
Encompass Health Rehabilitation Hospital of Petersburg,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.00,VA
Encompass Health Rehabilitation Hospital of Petersburg,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$8.25,VA
Encompass Health Rehabilitation Hospital of Petersburg,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$14.25,VA
Encompass Health Rehabilitation Hospital of Petersburg,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,VA
Encompass Health Rehabilitation Hospital of Petersburg,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast","$1,561.50",VA
Encompass Health Rehabilitation Hospital of Petersburg,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$4,426.50",VA
Encompass Health Rehabilitation Hospital of Petersburg,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast","$2,306.25",VA
Encompass Health Rehabilitation Hospital of Petersburg,MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$2,846.25",VA
Encompass Health Rehabilitation Hospital of Petersburg,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$4,426.50",VA
Encompass Health Rehabilitation Hospital of Petersburg,MRI,HCPCS 73721,MRI scan of leg joint,"$2,846.25",VA
Encompass Health Rehabilitation Hospital of Petersburg,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$186.00,VA
Encompass Health Rehabilitation Hospital of Petersburg,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$202.50,VA
Encompass Health Rehabilitation Hospital of Petersburg,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",$191.25,VA
