Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Memorial Hospital of Martinsville,Emergency Care,HCPCS 99281,Emergency Level 1,$165.20,VA
Memorial Hospital of Martinsville,Emergency Care,HCPCS 99282,Emergency Level 2,$250.40,VA
Memorial Hospital of Martinsville,Emergency Care,HCPCS 99283,Emergency Level 3,$373.60,VA
Memorial Hospital of Martinsville,Emergency Care,HCPCS 99284,Emergency Level 4,$642.80,VA
Memorial Hospital of Martinsville,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,127.20",VA
Memorial Hospital of Martinsville,Hospital,HCPCS 99218,Hospital Observation per Hour,$37.60,VA
Memorial Hospital of Martinsville,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$391.20,VA
Memorial Hospital of Martinsville,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$503.60,VA
Memorial Hospital of Martinsville,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$268.40,VA
Memorial Hospital of Martinsville,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$417.60,VA
Memorial Hospital of Martinsville,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$586.00,VA
Memorial Hospital of Martinsville,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$169.20,VA
Memorial Hospital of Martinsville,Speech,HCPCS 92507,Speech Therapy,$121.60,VA
Memorial Hospital of Martinsville,Speech,HCPCS 92610,Swallow Evaluation,$133.20,VA
Memorial Hospital of Martinsville,Speech,HCPCS 92526,Swallow Treatment,$122.40,VA
Memorial Hospital of Martinsville,Blood,HCPCS 85018,"Blood count, hemoglobin",$38.40,VA
Memorial Hospital of Martinsville,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$33.60,VA
Memorial Hospital of Martinsville,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$26.80,VA
Memorial Hospital of Martinsville,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$69.60,VA
Memorial Hospital of Martinsville,Blood,HCPCS 85610,"Blood test, clotting time",$18.80,VA
Memorial Hospital of Martinsville,Blood,HCPCS 85730,Coagulation assessment blood test,$43.20,VA
