Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Stonesprings Hospital Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,686.25",VA
Stonesprings Hospital Center,Emergency Care,HCPCS 99281,Emergency Level 1,$88.25,VA
Stonesprings Hospital Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,131.75",VA
Stonesprings Hospital Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,143.00",VA
Stonesprings Hospital Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,459.25",VA
Stonesprings Hospital Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$3,411.50",VA
Stonesprings Hospital Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$62.50,VA
Stonesprings Hospital Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$62.50,VA
Stonesprings Hospital Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$39.50,VA
Stonesprings Hospital Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$394.75,VA
Stonesprings Hospital Center,Blood,HCPCS 85610,"Blood test, clotting time",$240.00,VA
Stonesprings Hospital Center,Blood,HCPCS 85730,Coagulation assessment blood test,$240.00,VA
Stonesprings Hospital Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$240.00,VA
Stonesprings Hospital Center,Blood,HCPCS 85027,"Complete blood count, automated",$203.50,VA
Stonesprings Hospital Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$63.75,VA
Stonesprings Hospital Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$878.50,VA
Stonesprings Hospital Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$300.00,VA
Stonesprings Hospital Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$1,182.50",VA
Stonesprings Hospital Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,"$1,402.75",VA
Stonesprings Hospital Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,"$1,020.50",VA
Stonesprings Hospital Center,Chemistry,HCPCS 82040,Albumin (protein) level,$310.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$435.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$710.75,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82140,Ammonia level,$418.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$358.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$491.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$219.75,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$376.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$126.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$164.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$164.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82565,Blood creatinine level,$300.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$364.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84295,Blood sodium level,$141.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$385.75,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$118.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$690.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82310,Calcium level,$319.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$141.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$457.75,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82465,Cholesterol level,$319.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82525,Copper level,$323.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82533,Cortisol Measurement,$661.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$762.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$394.75,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$479.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$950.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$464.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$140.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82746,Folic acid; serum,$471.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$182.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$159.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$385.75,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",$580.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$580.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$294.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83718,HDL cholesterol level,$409.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83020,Hemoglobin Measurement,$571.75,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$990.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$745.75,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,"$1,526.50",VA
Stonesprings Hospital Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$349.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82330,Ionized Calcium,$389.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$429.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83540,Iron level,$323.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$364.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$409.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$332.75,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$150.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83735,Magnesium Level,$310.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82542,Mass spectrometry,$533.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$787.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$294.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83918,Organic acid level,"$1,758.00",VA
Stonesprings Hospital Center,Chemistry,HCPCS 83945,Oxalate level,$460.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83970,Parathormone,$432.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$216.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84157,Prealbumin (protein) level,$364.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,"$1,803.00",VA
Stonesprings Hospital Center,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$642.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$451.75,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82270,Stool analysis for blood,$130.75,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84403,Testosterone (hormone) level,$798.75,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84402,Testosterone Level; Free,"$1,149.75",VA
Stonesprings Hospital Center,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$287.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$127.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84155,"Total protein level, blood",$319.00,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$444.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84166,Troponin (protein) analysis,$762.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84560,Uric acid level,$399.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$146.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82340,Urine calcium level,$279.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82436,Urine chloride level,$105.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$518.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$733.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84120,Urine porphyrins (metabolism substance) measurement,$411.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84133,Urine potassium level,$118.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84300,Urine sodium level,$141.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84591,Vitamin B-6 level,$259.50,VA
Stonesprings Hospital Center,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$221.25,VA
Stonesprings Hospital Center,Chemistry,HCPCS 84630,Zinc level,$373.00,VA
Stonesprings Hospital Center,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$691.25,VA
Stonesprings Hospital Center,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$385.75,VA
Stonesprings Hospital Center,Immunology,HCPCS 86694,Analysis for antibody to Herpes simplex virus,$387.25,VA
Stonesprings Hospital Center,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$140.50,VA
Stonesprings Hospital Center,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,$833.25,VA
Stonesprings Hospital Center,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$580.25,VA
Stonesprings Hospital Center,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$368.75,VA
Stonesprings Hospital Center,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$418.00,VA
Stonesprings Hospital Center,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$466.50,VA
Stonesprings Hospital Center,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,$983.50,VA
Stonesprings Hospital Center,Immunology,HCPCS 86334,Immunologic analysis technique on body fluid; Immunofixation electrophoresis,"$1,385.75",VA
Stonesprings Hospital Center,Immunology,HCPCS 86140,Measurement C-reactive protein,$328.75,VA
Stonesprings Hospital Center,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$135.50,VA
Stonesprings Hospital Center,Immunology,HCPCS 86161,Measurement of Complement (Immune System Proteins),$537.25,VA
Stonesprings Hospital Center,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$411.50,VA
Stonesprings Hospital Center,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$155.25,VA
Stonesprings Hospital Center,Immunology,HCPCS 86431,Rheumatoid factor level,$83.75,VA
Stonesprings Hospital Center,Immunology,HCPCS 86255,Screening test for antibody to noninfectious agent,$403.00,VA
Stonesprings Hospital Center,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$287.25,VA
Stonesprings Hospital Center,Immunology,HCPCS 86592,Syphilis Detection Test,$332.75,VA
Stonesprings Hospital Center,Immunology,HCPCS 86360,"T cells; absolute CD4 and CD8 count, including ratio",$491.25,VA
Stonesprings Hospital Center,Immunology,HCPCS 86359,"T cells count, total",$308.75,VA
Stonesprings Hospital Center,Immunology,HCPCS 86800,Thyroglobulin (thyroid protein) antibody measurement,$451.75,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87147,Analysis for antibody bordetella (respiratory bacteria),$113.75,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$457.75,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$497.50,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87491,Chlamydia Test,$484.00,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87635,Covid-19 current infection test,$56.50,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87493,Detection test for clostridium difficile,$396.50,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),"$1,054.75",VA
Stonesprings Hospital Center,Microbiology,HCPCS 87497,"Detection test for cytomegalovirus, quantification",$726.25,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,$376.50,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87536,"Detection test for HIV-1 virus, quantification","$10,329.75",VA
Stonesprings Hospital Center,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$269.00,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87517,Hepatitis B Detection,$723.75,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87389,HIV antigen and antibodies detection test,$173.25,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87230,Microbial toxin or antitoxin assay,$802.00,VA
Stonesprings Hospital Center,Microbiology,HCPCS 86735,Mumps virus antibody test,$500.75,VA
Stonesprings Hospital Center,Microbiology,HCPCS 86747,Parvovirus antibody test,$168.25,VA
Stonesprings Hospital Center,Microbiology,HCPCS 86762,Rubella virus antibody test,$904.50,VA
Stonesprings Hospital Center,Microbiology,HCPCS 86765,Rubeola virus antibody test,$314.25,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87207,Smear for infectious agents,$300.00,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87177,Smear for Parasites,$376.50,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87206,Special stain for microorganism; special stain for parasites,$279.25,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87045,Stool Culture,$619.75,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87880,Strep Test,$373.00,VA
Stonesprings Hospital Center,Microbiology,HCPCS 87804,Test for Influenza Virus,$102.00,VA
Stonesprings Hospital Center,Microbiology,HCPCS 86780,Treponema pallidum antibody test,$349.50,VA
