Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Copley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$129.00,VT
Copley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$900.00,VT
Copley Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$218.00,VT
Copley Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$316.00,VT
Copley Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$522.00,VT
Copley Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$794.00,VT
Copley Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,148.00",VT
Copley Hospital,Hospital,HCPCS 99234,Hospital observation care discharge,$389.00,VT
Copley Hospital,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$266.00,VT
Copley Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,$194.00,VT
Copley Hospital,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",$78.00,VT
Copley Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$298.00,VT
Copley Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$255.00,VT
Copley Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$68.00,VT
Copley Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$412.00,VT
Copley Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$117.00,VT
Copley Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$293.00,VT
Copley Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$419.00,VT
Copley Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$554.00,VT
Copley Hospital,Speech,HCPCS 92507,Speech Therapy,$194.00,VT
Copley Hospital,Speech,HCPCS 92610,Swallow Evaluation,$205.00,VT
Copley Hospital,Speech,HCPCS 92526,Swallow Treatment,$244.00,VT
Copley Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$14.00,VT
Copley Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$14.00,VT
Copley Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$27.00,VT
Copley Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$73.00,VT
Copley Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$26.00,VT
Copley Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$34.00,VT
Copley Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$41.00,VT
Copley Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$37.00,VT
Copley Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$52.00,VT
Copley Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$21.00,VT
Copley Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$1,129.00",VT
Copley Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$127.00,VT
Copley Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$145.00,VT
Copley Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$24.00,VT
Copley Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$50.00,VT
Copley Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$68.00,VT
Copley Hospital,Chemistry,HCPCS 82140,Ammonia level,$86.00,VT
Copley Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$33.00,VT
Copley Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$55.00,VT
Copley Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$50.00,VT
Copley Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$23.00,VT
Copley Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$29.00,VT
Copley Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$29.00,VT
Copley Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$29.00,VT
Copley Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$23.00,VT
Copley Hospital,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$19.00,VT
Copley Hospital,Chemistry,HCPCS 84295,Blood sodium level,$18.00,VT
Copley Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$34.00,VT
Copley Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$26.00,VT
Copley Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$84.00,VT
Copley Hospital,Chemistry,HCPCS 82310,Calcium level,$23.00,VT
Copley Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$18.00,VT
Copley Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$50.00,VT
Copley Hospital,Chemistry,HCPCS 82465,Cholesterol level,$25.00,VT
Copley Hospital,Chemistry,HCPCS 82525,Copper level,$94.00,VT
Copley Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$51.00,VT
Copley Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$78.00,VT
Copley Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$38.00,VT
Copley Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$50.00,VT
Copley Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$92.00,VT
Copley Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$144.00,VT
