Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Mary Bridge Childrens Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,657.00",WA
Mary Bridge Childrens Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,775.67",WA
Mary Bridge Childrens Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,775.67",WA
Mary Bridge Childrens Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,775.67",WA
Mary Bridge Childrens Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,775.67",WA
Mary Bridge Childrens Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,775.67",WA
Mary Bridge Childrens Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$170.63,WA
Mary Bridge Childrens Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$170.63,WA
Mary Bridge Childrens Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$170.63,WA
Mary Bridge Childrens Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$170.63,WA
Mary Bridge Childrens Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$170.63,WA
Mary Bridge Childrens Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$170.63,WA
Mary Bridge Childrens Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$170.63,WA
Mary Bridge Childrens Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$233.75,WA
Mary Bridge Childrens Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$156.76,WA
Mary Bridge Childrens Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$156.76,WA
Mary Bridge Childrens Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$156.76,WA
Mary Bridge Childrens Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$317.29,WA
Mary Bridge Childrens Hospital,Speech,HCPCS 92507,Speech Therapy,$196.44,WA
Mary Bridge Childrens Hospital,Speech,HCPCS 92610,Swallow Evaluation,$228.71,WA
Mary Bridge Childrens Hospital,Speech,HCPCS 92526,Swallow Treatment,$212.70,WA
Mary Bridge Childrens Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$7.60,WA
Mary Bridge Childrens Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$8.60,WA
Mary Bridge Childrens Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$17.61,WA
Mary Bridge Childrens Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$17.61,WA
Mary Bridge Childrens Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$15.63,WA
Mary Bridge Childrens Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$35.15,WA
Mary Bridge Childrens Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$24.63,WA
Mary Bridge Childrens Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$24.63,WA
Mary Bridge Childrens Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$11.34,WA
Mary Bridge Childrens Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$57.69,WA
Mary Bridge Childrens Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$24.96,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$17.19,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$49.88,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$54.03,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$24.29,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$27.12,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$13.91,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$13.91,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$14.56,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$18.92,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$16.89,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$48.69,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82310,Calcium level,$34.26,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82465,Cholesterol level,$14.64,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82525,Copper level,$36.12,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$69.67,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$107.96,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$33.96,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$39.38,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$81.26,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$138.58,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$41.87,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$30.53,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$40.94,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$25.33,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$27.64,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$59.53,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$65.76,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83020,Hemoglobin Measurement,$48.78,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$113.70,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$53.66,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83525,Insulin Measurement; Total,$37.13,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82330,Ionized Calcium,$34.26,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,$25.24,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83540,Iron level,$18.69,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$21.60,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83721,LDL cholesterol level,$23.62,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$41.07,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$18.65,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$26.14,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83021,Liver function blood test panel,$48.78,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83735,Magnesium Level,$22.11,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82542,Mass spectrometry,$58.72,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$39.19,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83918,Organic acid level,$98.29,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83970,Parathormone,$109.28,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84157,Prealbumin (protein) level,$17.34,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$53.66,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$59.49,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$17.34,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82270,Stool analysis for blood,$33.33,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84403,Testosterone (hormone) level,$87.06,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84402,Testosterone Level; Free,$87.06,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$27.12,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84155,"Total protein level, blood",$17.34,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$17.34,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84166,Troponin (protein) analysis,$17.34,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84560,Uric acid level,$14.85,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84550,"Uric acid level, blood",$14.85,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82340,Urine calcium level,$34.26,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$17.19,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$94.26,WA
Mary Bridge Childrens Hospital,Chemistry,HCPCS 84630,Zinc level,$36.27,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$103.90,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$48.64,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$27.27,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86318,Covid-19 antibody test,$60.75,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$44.99,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$27.27,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$27.27,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,$60.75,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86334,Immunofixation electrophoresis; serum,$67.16,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86140,Measurement C-reactive protein,$24.77,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$20.26,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86255,Measurement of antibody to noninfectious agent,$43.48,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$27.27,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$56.68,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86431,Rheumatoid factor level,$16.47,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$19.06,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86580,Skin test for tuberculosis,$12.42,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86592,Syphilis Detection Test,$37.37,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86360,"T cells; absolute CD4 and CD8 count, including ratio",$167.31,WA
Mary Bridge Childrens Hospital,Immunology,HCPCS 86359,"T cells count, total",$167.31,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87147,Analysis for antibody bordetella (respiratory bacteria),$55.79,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$26.76,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$32.85,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87491,Chlamydia Test,$105.22,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87493,Detection test for clostridium difficile,$129.37,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,$27.27,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$134.81,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87517,Hepatitis B Detection,$133.28,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87389,HIV antigen and antibodies detection test,$52.16,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87624,HPV Detection,$52.98,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 86735,Mumps virus antibody test,$37.48,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 86762,Rubella virus antibody test,$35.78,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 86765,Rubeola virus antibody test,$37.50,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87177,Smear for Parasites,$42.14,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87206,Special stain for microorganism; special stain for parasites,$17.09,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87045,Stool Culture,$54.52,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87880,Strep Test,$32.44,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 87804,Test for Influenza Virus,$70.15,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 86780,Treponema pallidum antibody test,$37.37,WA
Mary Bridge Childrens Hospital,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,$37.71,WA
Mary Bridge Childrens Hospital,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,$191.01,WA
Mary Bridge Childrens Hospital,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$37.45,WA
Mary Bridge Childrens Hospital,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$48.64,WA
Mary Bridge Childrens Hospital,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$38.85,WA
Mary Bridge Childrens Hospital,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$21.91,WA
Mary Bridge Childrens Hospital,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$21.41,WA
Mary Bridge Childrens Hospital,Organ or Disease Oriented Panels,HCPCS 80055,Obstetric blood test panel,$114.08,WA
Mary Bridge Childrens Hospital,Therapeutic Drug Assays,HCPCS 80307,Drug Test(s) by Chemistry Analyzer,$217.98,WA
Mary Bridge Childrens Hospital,Therapeutic Drug Assays,HCPCS 80177,Levetiracetam level,$52.52,WA
Mary Bridge Childrens Hospital,Therapeutic Drug Assays,HCPCS 80178,Lithium Level,$19.64,WA
