Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Multicare Deaconess Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,962.73",WA
Multicare Deaconess Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,674.59",WA
Multicare Deaconess Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,674.59",WA
Multicare Deaconess Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,674.59",WA
Multicare Deaconess Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,674.59",WA
Multicare Deaconess Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,674.59",WA
Multicare Deaconess Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$194.96,WA
Multicare Deaconess Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$194.96,WA
Multicare Deaconess Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$194.96,WA
Multicare Deaconess Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$194.96,WA
Multicare Deaconess Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$194.96,WA
Multicare Deaconess Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$194.96,WA
Multicare Deaconess Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$194.96,WA
Multicare Deaconess Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$155.36,WA
Multicare Deaconess Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$155.36,WA
Multicare Deaconess Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$155.36,WA
Multicare Deaconess Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$281.37,WA
Multicare Deaconess Hospital,Speech,HCPCS 92507,Speech Therapy,$192.13,WA
Multicare Deaconess Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$11.69,WA
Multicare Deaconess Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$16.02,WA
Multicare Deaconess Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$17.86,WA
Multicare Deaconess Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$17.86,WA
Multicare Deaconess Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$24.95,WA
Multicare Deaconess Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$41.87,WA
Multicare Deaconess Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$24.95,WA
Multicare Deaconess Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$41.49,WA
Multicare Deaconess Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$41.49,WA
Multicare Deaconess Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$23.33,WA
Multicare Deaconess Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$56.00,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$16.01,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$40.24,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$47.49,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$30.03,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$24.24,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$16.06,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$16.06,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$21.57,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$27.51,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 84132,Blood potassium level,$32.24,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$20.34,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$48.47,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82310,Calcium level,$43.06,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$68.16,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82465,Cholesterol level,$13.18,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82525,Copper level,$31.42,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$43.26,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$32.96,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$39.99,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$62.52,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$37.76,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$30.15,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$33.35,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$28.21,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$26.01,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$47.47,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$48.58,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 83718,HDL cholesterol level,$23.45,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 83020,Hemoglobin Measurement,$42.87,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$60.24,WA
Multicare Deaconess Hospital,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$42.48,WA
