Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Peace Island Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$85.15,WA
Peace Island Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$85.15,WA
Peace Island Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$85.15,WA
Peace Island Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$36.40,WA
Peace Island Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$45.50,WA
Peace Island Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$42.25,WA
Peace Island Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$51.35,WA
Peace Island Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$42.25,WA
Peace Island Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$183.95,WA
Peace Island Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$66.95,WA
Peace Island Medical Center,Chemistry,HCPCS 82140,Ammonia level,$102.70,WA
Peace Island Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$38.35,WA
Peace Island Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$35.10,WA
Peace Island Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$35.10,WA
Peace Island Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$66.95,WA
Peace Island Medical Center,Chemistry,HCPCS 82310,Calcium level,$40.95,WA
Peace Island Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$59.15,WA
Peace Island Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$79.95,WA
Peace Island Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$52.65,WA
Peace Island Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$55.90,WA
Peace Island Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$45.50,WA
Peace Island Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$83.20,WA
Peace Island Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$55.90,WA
Peace Island Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$35.75,WA
Peace Island Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$46.80,WA
Peace Island Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$52.00,WA
Peace Island Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$59.80,WA
Peace Island Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$59.15,WA
Peace Island Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$64.35,WA
Peace Island Medical Center,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$150.15,WA
Peace Island Medical Center,Chemistry,HCPCS 83970,Parathormone,$206.05,WA
Peace Island Medical Center,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$157.30,WA
Peace Island Medical Center,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$38.35,WA
Peace Island Medical Center,Chemistry,HCPCS 82270,Stool analysis for blood,$22.10,WA
