Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
St Anthony Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$6,170.90",WA
St Anthony Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,256.45",WA
St Anthony Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,256.45",WA
St Anthony Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,256.45",WA
St Anthony Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,256.45",WA
St Anthony Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,256.45",WA
St Anthony Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$126.47,WA
St Anthony Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$126.47,WA
St Anthony Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$126.47,WA
St Anthony Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$97.69,WA
St Anthony Hospital,Speech,HCPCS 92507,Speech Therapy,$69.09,WA
St Anthony Hospital,Speech,HCPCS 92610,Swallow Evaluation,$75.35,WA
St Anthony Hospital,Speech,HCPCS 92526,Swallow Treatment,$75.48,WA
St Anthony Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$36.93,WA
St Anthony Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$39.43,WA
St Anthony Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$40.30,WA
St Anthony Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$67.63,WA
St Anthony Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$81.53,WA
St Anthony Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$81.53,WA
St Anthony Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$14.30,WA
St Anthony Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$27.03,WA
St Anthony Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$11.51,WA
St Anthony Hospital,Chemistry,HCPCS 82140,Ammonia level,$91.99,WA
St Anthony Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$88.77,WA
St Anthony Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$15.73,WA
St Anthony Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$98.04,WA
St Anthony Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$56.36,WA
St Anthony Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$20.94,WA
St Anthony Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$27.79,WA
St Anthony Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$42.14,WA
