Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
United General Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$278.20,WA
United General Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$349.70,WA
United General Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$93.60,WA
United General Medical Center,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$85.15,WA
United General Medical Center,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$85.15,WA
United General Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$31.85,WA
United General Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$179.40,WA
United General Medical Center,Speech,HCPCS 92507,Speech Therapy,$133.25,WA
United General Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$220.35,WA
United General Medical Center,Speech,HCPCS 92526,Swallow Treatment,$226.20,WA
United General Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$48.75,WA
United General Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$65.00,WA
United General Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$51.35,WA
United General Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$42.25,WA
United General Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$238.55,WA
United General Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$104.65,WA
United General Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$44.20,WA
United General Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$108.55,WA
United General Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$43.55,WA
United General Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$79.95,WA
United General Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$68.90,WA
United General Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$113.10,WA
United General Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$78.00,WA
United General Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$106.60,WA
United General Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$87.75,WA
United General Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$64.35,WA
