Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Ascension Ne Wisconsin-St. Elizabeth,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Emergency Care,HCPCS 99281,Emergency Level 1,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Emergency Care,HCPCS 99282,Emergency Level 2,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Emergency Care,HCPCS 99283,Emergency Level 3,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Emergency Care,HCPCS 99284,Emergency Level 4,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Emergency Care,HCPCS 99285,Emergency Level 5,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Hospital,HCPCS 99234,Hospital observation care discharge,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Hospital,HCPCS 99218,Hospital Observation per Hour,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Hospital,HCPCS 99224,"Subsequent observation care, typically 15 minutes per day",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Psychology,HCPCS 90853,Group psychotherapy,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Psychology,HCPCS 90837,"Psychotherapy, 60 min",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Speech,HCPCS 92507,Speech Therapy,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Speech,HCPCS 92610,Swallow Evaluation,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Speech,HCPCS 92526,Swallow Treatment,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Chemistry,HCPCS 83020,Hemoglobin Measurement,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Chemistry,HCPCS 84165,"Protein Measurement, Serum",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Chemistry,HCPCS 84166,Troponin (protein) analysis,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Immunology,HCPCS 86334,Immunofixation electrophoresis; serum,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Immunology,HCPCS 86255,Measurement of antibody to noninfectious agent,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Immunology,HCPCS 86580,Skin test for tuberculosis,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Microbiology,HCPCS 87635,Covid-19 current infection test,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Microbiology,HCPCS 87207,Smear for infectious agents,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiovascular,HCPCS 93015,"Cardiovascular stress test, with interpretation and report",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiovascular,HCPCS 93017,"Cardiovascular stress test, without interpretation and report",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiovascular,HCPCS 93041,Heart rhythm symptom-related tracing of 24-hour EKG monitoring up to 30 days,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiovascular,HCPCS 93226,Holter Testing - 48-Hour EKG,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiovascular,HCPCS 93010,Routine 12 Lead EKG with report,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiovascular,HCPCS 93660,Tilt table test to evaluate heart (for unexplained fainting),-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiovascular,HCPCS 93975,Ultrasound Heart,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Pulmonary,HCPCS 94640,Aerosol Treatment,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Pulmonary,HCPCS 94729,Blood osmolality (concentration) measurement,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Pulmonary,HCPCS 94010,Spirometry - breathing test,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Sleep,HCPCS 95810,Sleep study,-,WI
Ascension Ne Wisconsin-St. Elizabeth,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,-,WI
Ascension Ne Wisconsin-St. Elizabeth,CT Scan,HCPCS 74150,CT scan Abdomen without Contrast,-,WI
Ascension Ne Wisconsin-St. Elizabeth,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",-,WI
Ascension Ne Wisconsin-St. Elizabeth,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material",-,WI
Ascension Ne Wisconsin-St. Elizabeth,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,-,WI
Ascension Ne Wisconsin-St. Elizabeth,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,-,WI
Ascension Ne Wisconsin-St. Elizabeth,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,-,WI
Ascension Ne Wisconsin-St. Elizabeth,CT Scan,HCPCS 74160,CT scan of abdomen with contrast material,-,WI
Ascension Ne Wisconsin-St. Elizabeth,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,-,WI
Ascension Ne Wisconsin-St. Elizabeth,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material",-,WI
Ascension Ne Wisconsin-St. Elizabeth,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material",-,WI
Ascension Ne Wisconsin-St. Elizabeth,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast",-,WI
Ascension Ne Wisconsin-St. Elizabeth,CT Scan,HCPCS 70491,"CT scan, soft tissue neck; with contrast material(s)",-,WI
Ascension Ne Wisconsin-St. Elizabeth,MRA,HCPCS 70544,"Magnetic resonance angiography, head; without contrast material(s)",-,WI
Ascension Ne Wisconsin-St. Elizabeth,MRI,HCPCS 72146,MRI chest spine without contrast material,-,WI
Ascension Ne Wisconsin-St. Elizabeth,MRI,HCPCS 72148,MRI lumbar spine without contrast material,-,WI
Ascension Ne Wisconsin-St. Elizabeth,MRI,HCPCS 72158,MRI lumbar spine without & with contrast material,-,WI
Ascension Ne Wisconsin-St. Elizabeth,MRI,HCPCS 72141,MRI neck spine without contrast material,-,WI
Ascension Ne Wisconsin-St. Elizabeth,MRI,HCPCS 72156,MRI neck spine without & with contrast material,-,WI
Ascension Ne Wisconsin-St. Elizabeth,MRI,HCPCS 74183,MRI of abdomen without & with contrast material,-,WI
Ascension Ne Wisconsin-St. Elizabeth,MRI,HCPCS 73221,MRI of upper extremity joint; without contrast material,-,WI
Ascension Ne Wisconsin-St. Elizabeth,MRI,HCPCS 70553,MRI scan of brain before and after contrast,-,WI
Ascension Ne Wisconsin-St. Elizabeth,MRI,HCPCS 70551,MRI scan of brain (including brain stem); without contrast material,-,WI
Ascension Ne Wisconsin-St. Elizabeth,MRI,HCPCS 73721,MRI scan of leg joint,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Ultrasound,HCPCS 76805,"Abdominal ultrasound of pregnant uterus, first trimester",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Ultrasound,HCPCS 76506,Ultrasound Blood Flow Outside the Brain,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Ultrasound,HCPCS 76770,"Ultrasound exam of abdomenal back wall, complete",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Ultrasound,HCPCS 76536,Ultrasound exam of head and neck,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Ultrasound,HCPCS 76942,Ultrasound guidance for biopsy,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Ultrasound,HCPCS 76881,Ultrasound Joint Soft Tissue - Complete,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Ultrasound,HCPCS 76705,"Ultrasound of abdomen, limited",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Ultrasound,HCPCS 76857,Ultrasound of pelvis,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Ultrasound,HCPCS 76856,"Ultrasound, pelvic, complete",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Chest,HCPCS 71111,"X-ray of Both Sides of Ribs, Including Chest, Minimum of 4 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Chest,HCPCS 70130,"X-ray of breast bone, minimum of 2 views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Chest,HCPCS 71100,"X-ray Ribs One Side, 2 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Head and Neck,HCPCS 70150,"X-ray of bones of face, minimum of 3 views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Head and Neck,HCPCS 70160,"X-ray of bones of nose, minimum of 3 views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Head and Neck,HCPCS 77076,X-ray of jaw joints on both sides of the face,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Head and Neck,HCPCS 70110,"X-ray of mandible, minimum of 4 views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Head and Neck,HCPCS 70360,X-ray of neck soft tissue,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Head and Neck,HCPCS 70210,"X-ray of paranasal sinus, less than 3 views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Head and Neck,HCPCS 70260,"X-ray of skull, complete, minimum of 4 views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Hip and Pelvis,HCPCS 72170,"X-ray Pelvis, 1-2 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Hip and Pelvis,HCPCS 72202,"X-ray Sacroiliac Joints, 3 or More Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Lower Limbs,HCPCS 73600,"X-ray Ankle, 2 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Lower Limbs,HCPCS 73610,"X-ray Ankle, 3 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Lower Limbs,HCPCS 73565,X-ray Both Knees,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Lower Limbs,HCPCS 73630,X-ray exam of foot,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Lower Limbs,HCPCS 73562,"X-ray exam of knee, 3 views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Lower Limbs,HCPCS 73620,"X-ray Foot, 2 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Lower Limbs,HCPCS 73650,"X-ray Heel, 2 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Lower Limbs,HCPCS 73560,"X-ray Knee, 1-2 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Lower Limbs,HCPCS 73564,"X-ray Knee, 4 or More Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Lower Limbs,HCPCS 73590,"X-ray Lower Leg, 2 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Spine,HCPCS 72040,"X-ray Lower Sacral Spine, 2-3 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Spine,HCPCS 72100,"X-ray Lower Sacral Spine, 2 or 3 views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Spine,HCPCS 72052,"X-ray Lower Sacral Spine, 4 or More Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Upper Limbs,HCPCS 73080,"X-ray Elbow, 3 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Upper Limbs,HCPCS 73140,"X-ray Fingers, 2 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Upper Limbs,HCPCS 73090,"X-ray Forearm, 2 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Upper Limbs,HCPCS 73120,"X-ray Hand, 2 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Upper Limbs,HCPCS 73130,"X-ray Hand, 3 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Upper Limbs,HCPCS 73030,"X-ray Shoulder, 2 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Upper Limbs,HCPCS 73100,"X-ray Wrist, 3 Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Upper Limbs,HCPCS 73110,"X-ray Wrist, 3+ Views",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,WI
Ascension Ne Wisconsin-St. Elizabeth,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiac,MSDRG 227,Cardiac defibrillator implant without cardiac catherization,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiac,MSDRG 216,Cardiac valve procedure,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiac,MSDRG 234,Coronary bypass with cardiac catheterization,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiac,MSDRG 236,Coronary bypass without cardiac catheterization,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiac,HCPCS 93452,Diagnostic heart catheterization,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiac,HCPCS 93451,Diagnostic heart catheterization (right side),-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiac,HCPCS 93320,"Doppler ultrasound of heart blood flow, valves, and chambers",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiac,MSDRG 247,Implant drug-eluting stent,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Cardiac,MSDRG 244,Implant Permanent Cardiac Pacemaker,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Female Reproductive,MSDRG 743,"Uterine and adnexa procedures, non-malignancy",-,WI
Ascension Ne Wisconsin-St. Elizabeth,Musculoskeletal,MSDRG 455,Bi-lateral (combined anterior/posterior) spinal fusion,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Musculoskeletal,MSDRG 470,Joint replacement (hip or knee),-,WI
Ascension Ne Wisconsin-St. Elizabeth,Musculoskeletal,MSDRG 473,Spinal fusion (cervical),-,WI
Ascension Ne Wisconsin-St. Elizabeth,Musculoskeletal,MSDRG 460,Spinal fusion (non-cervical),-,WI
Ascension Ne Wisconsin-St. Elizabeth,Obstetrics,MSDRG 788,Cesarean Section (C-Section) Delivery of Child,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Obstetrics,MSDRG 807,Vaginal Delivery of Child,-,WI
Ascension Ne Wisconsin-St. Elizabeth,Soft Tissue,HCPCS 97597,Debridement of open wound,-,WI
