Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Ascension SE Wisconsin Hospital - St. Joseph Campus,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Emergency Care,HCPCS 99281,Emergency Level 1,-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Emergency Care,HCPCS 99282,Emergency Level 2,-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Emergency Care,HCPCS 99283,Emergency Level 3,-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Emergency Care,HCPCS 99284,Emergency Level 4,-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Emergency Care,HCPCS 99285,Emergency Level 5,-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 85018,"Blood count, hemoglobin",-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 85610,"Blood test, clotting time",-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 85730,Coagulation assessment blood test,-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 85027,"Complete blood count, automated",-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 85008,Microscopic examination for white blood cells,-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 85660,Red blood cell sickling measurement,-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Blood,HCPCS 85041,"Red blood count, automated test",-,WI
Ascension SE Wisconsin Hospital - St. Joseph Campus,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,-,WI
