Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Reynolds Memorial Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$93.50,WV
Reynolds Memorial Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$265.00,WV
Reynolds Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$84.00,WV
Reynolds Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$108.50,WV
Reynolds Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$210.00,WV
Reynolds Memorial Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$288.50,WV
Reynolds Memorial Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$448.00,WV
Reynolds Memorial Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$103.00,WV
Reynolds Memorial Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$103.00,WV
Reynolds Memorial Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$50.50,WV
Reynolds Memorial Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$24.50,WV
Reynolds Memorial Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$131.50,WV
Reynolds Memorial Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$158.50,WV
Reynolds Memorial Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$71.50,WV
Reynolds Memorial Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$92.00,WV
Reynolds Memorial Hospital,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$92.00,WV
Reynolds Memorial Hospital,Psychology,HCPCS 90853,Group psychotherapy,$110.00,WV
Reynolds Memorial Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$183.50,WV
Reynolds Memorial Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$92.00,WV
Reynolds Memorial Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$138.00,WV
Reynolds Memorial Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$183.50,WV
Reynolds Memorial Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$143.00,WV
Reynolds Memorial Hospital,Speech,HCPCS 92507,Speech Therapy,$47.00,WV
Reynolds Memorial Hospital,Speech,HCPCS 92610,Swallow Evaluation,$121.00,WV
Reynolds Memorial Hospital,Speech,HCPCS 92526,Swallow Treatment,$49.50,WV
Reynolds Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$15.00,WV
Reynolds Memorial Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$15.00,WV
Reynolds Memorial Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$54.00,WV
Reynolds Memorial Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$49.50,WV
Reynolds Memorial Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$39.00,WV
Reynolds Memorial Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$43.00,WV
Reynolds Memorial Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$39.00,WV
Reynolds Memorial Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$32.50,WV
Reynolds Memorial Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$34.00,WV
Reynolds Memorial Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$35.00,WV
Reynolds Memorial Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$32.00,WV
Reynolds Memorial Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$4.50,WV
