Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Summersville Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$234.00,WV
Summersville Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$469.50,WV
Summersville Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$89.50,WV
Summersville Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$129.50,WV
Summersville Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$293.00,WV
Summersville Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$462.00,WV
Summersville Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$720.50,WV
Summersville Regional Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$97.00,WV
Summersville Regional Medical Center,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$60.00,WV
Summersville Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$33.00,WV
Summersville Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$61.50,WV
Summersville Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$53.00,WV
Summersville Regional Medical Center,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$108.50,WV
Summersville Regional Medical Center,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$70.50,WV
Summersville Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$211.00,WV
Summersville Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$102.00,WV
Summersville Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$126.00,WV
Summersville Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,$102.00,WV
Summersville Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$24.00,WV
Summersville Regional Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$24.00,WV
Summersville Regional Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$29.50,WV
Summersville Regional Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$52.50,WV
Summersville Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$27.50,WV
Summersville Regional Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$29.00,WV
Summersville Regional Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$27.00,WV
Summersville Regional Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$24.00,WV
Summersville Regional Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$16.50,WV
Summersville Regional Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$128.50,WV
Summersville Regional Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$514.00,WV
Summersville Regional Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$454.50,WV
Summersville Regional Medical Center,Blood,HCPCS 85041,"Red blood count, automated test",$21.50,WV
Summersville Regional Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$49.50,WV
