SVCCD,Description,GROSS CHARGE,As of Date,DISCOUNTED CASH PRICE INPATIENT ,DISCOUNTED CASH PRICE OUTPATIENT ,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,Anthem BCBS ,United Healthcare,Anthem Mittal Steel ,Cigna ,Anthem US Steel ,Aetna ,Medpartners,Multiplan/PHCS,Humana ,Sagamore ,Local 697 PNA ,MHS Ambetter Exchange ,Anthem Exchange ,MD Wise Exchange,Anthem Medicaid ,MHS Medicaid ,MD Wise ,Caresource ,Aetna Medicare ,Anthem MA ,Humana MA,United healthcare MA 
1010014,"NI-EKG, 12 LEADS",251,10/28/2020,90.36,125.5,22.339,179.465,57.981,51.204,61.997,72.288,59.738,43.674,39.909,98.643,179.465,124.496,52.71,34.638,58.483,114.205,35.642,36.144,38.403,39.407,23.092,23.845,23.594,22.339
1010015,NI-STRESS TEST,1136,10/28/2020,408.96,568,101.104,812.24,262.416,231.744,280.592,327.168,270.368,197.664,180.624,446.448,812.24,563.456,238.56,156.768,264.688,516.88,161.312,163.584,173.808,178.352,104.512,107.92,106.784,101.104
1010023,NI-EVENT REC HKP,423,10/28/2020,152.28,211.5,37.647,302.445,97.713,86.292,104.481,121.824,100.674,73.602,67.257,166.239,302.445,209.808,88.83,58.374,98.559,192.465,60.066,60.912,64.719,66.411,38.916,40.185,39.762,37.647
1010045,NI-HOLTER RECRD TO48,1065,10/28/2020,383.4,532.5,94.785,761.475,246.015,217.26,263.055,306.72,253.47,185.31,169.335,418.545,761.475,528.24,223.65,146.97,248.145,484.575,151.23,153.36,162.945,167.205,97.98,101.175,100.11,94.785
1010046,NI-HOLTER W-SCAN 48,563,10/28/2020,202.68,281.5,50.107,402.545,130.053,114.852,139.061,162.144,133.994,97.962,89.517,221.259,402.545,279.248,118.23,77.694,131.179,256.165,79.946,81.072,86.139,88.391,51.796,53.485,52.922,50.107
1010047,NI-TILT TABLE,1750,10/28/2020,630,875,155.75,1251.25,404.25,357,432.25,504,416.5,304.5,278.25,687.75,1251.25,868,367.5,241.5,407.75,796.25,248.5,252,267.75,274.75,161,166.25,164.5,155.75
1010048,NI-HOLTER RECRD GT48,454,10/28/2020,163.44,227,40.406,324.61,104.874,92.616,112.138,130.752,108.052,78.996,72.186,178.422,324.61,225.184,95.34,62.652,105.782,206.57,64.468,65.376,69.462,71.278,41.768,43.13,42.676,40.406
1010051,NI-HOLTER RECAN GT48,428,10/28/2020,154.08,214,38.092,306.02,98.868,87.312,105.716,123.264,101.864,74.472,68.052,168.204,306.02,212.288,89.88,59.064,99.724,194.74,60.776,61.632,65.484,67.196,39.376,40.66,40.232,38.092
1020030,EEG 41-60 MIN,1138,10/28/2020,409.68,569,101.282,813.67,262.878,232.152,281.086,327.744,270.844,198.012,180.942,447.234,813.67,564.448,238.98,157.044,265.154,517.79,161.596,163.872,174.114,178.666,104.696,108.11,106.972,101.282
1020031,EEG GT 1 HOUR,2878,10/28/2020,1036.08,1439,256.142,2057.77,664.818,587.112,710.866,828.864,684.964,500.772,457.602,1131.054,2057.77,1427.488,604.38,397.164,670.574,1309.49,408.676,414.432,440.334,451.846,264.776,273.41,270.532,256.142
1020032,EEG AWAKE DROWSY,2082,10/28/2020,749.52,1041,185.298,1488.63,480.942,424.728,514.254,599.616,495.516,362.268,331.038,818.226,1488.63,1032.672,437.22,287.316,485.106,947.31,295.644,299.808,318.546,326.874,191.544,197.79,195.708,185.298
1020033,EEG AWAKE ASLEEP,2070,10/28/2020,745.2,1035,184.23,1480.05,478.17,422.28,511.29,596.16,492.66,360.18,329.13,813.51,1480.05,1026.72,434.7,285.66,482.31,941.85,293.94,298.08,316.71,324.99,190.44,196.65,194.58,184.23
1020035,EEG EVAL CEREBR,2611,10/28/2020,939.96,1305.5,232.379,1866.865,603.141,532.644,644.917,751.968,621.418,454.314,415.149,1026.123,1866.865,1295.056,548.31,360.318,608.363,1188.005,370.762,375.984,399.483,409.927,240.212,248.045,245.434,232.379
1020038,"EMG, CRAN NERVE UNI",2402,10/28/2020,864.72,1201,213.778,1717.43,554.862,490.008,593.294,691.776,571.676,417.948,381.918,943.986,1717.43,1191.392,504.42,331.476,559.666,1092.91,341.084,345.888,367.506,377.114,220.984,228.19,225.788,213.778
1020048,EEG NONCRANIAL SURG,3445,10/28/2020,1240.2,1722.5,306.605,2463.175,795.795,702.78,850.915,992.16,819.91,599.43,547.755,1353.885,2463.175,1708.72,723.45,475.41,802.685,1567.475,489.19,496.08,527.085,540.865,316.94,327.275,323.83,306.605
1024901,EEG 12-26HRS UNMONIT,7870,10/28/2020,2833.2,3935,700.43,5627.05,1817.97,1605.48,1943.89,2266.56,1873.06,1369.38,1251.33,3092.91,5627.05,3903.52,1652.7,1086.06,1833.71,3580.85,1117.54,1133.28,1204.11,1235.59,724.04,747.65,739.78,700.43
1024908,VEEG 2-12 HRS INTERM,6865,10/28/2020,2471.4,3432.5,610.985,4908.475,1585.815,1400.46,1695.655,1977.12,1633.87,1194.51,1091.535,2697.945,4908.475,3405.04,1441.65,947.37,1599.545,3123.575,974.83,988.56,1050.345,1077.805,631.58,652.175,645.31,610.985
1024909,VEEG 12-26HRS INTERM,13731,10/28/2020,4943.16,6865.5,1222.059,9817.665,3171.861,2801.124,3391.557,3954.528,3267.978,2389.194,2183.229,5396.283,9817.665,6810.576,2883.51,1894.878,3199.323,6247.605,1949.802,1977.264,2100.843,2155.767,1263.252,1304.445,1290.714,1222.059
1024910,VEEG 2-12 HRS CONTIN,7065,10/28/2020,2543.4,3532.5,628.785,5051.475,1632.015,1441.26,1745.055,2034.72,1681.47,1229.31,1123.335,2776.545,5051.475,3504.24,1483.65,974.97,1646.145,3214.575,1003.23,1017.36,1080.945,1109.205,649.98,671.175,664.11,628.785
