Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Table 2
21314,MT EDGECUMBE HOSPITAL,222 TONGASS DR,SITKA,AK,99835,SITKA BOROUGH,(907) 966-2411,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,5,Not Available,16,
24001,NORTH STAR HOSPITAL,2530 DEBARR RD,ANCHORAGE,AK,99508,ANCHORAGE,(907) 264-3526,Psychiatric,Proprietary,Yes,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
21312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,BARROW,AK,99723,NORTH SLOPE BOROUH,(907) 852-4611,Critical Access Hospitals,Government - Federal,Yes,,Not Available,16,Not Available,16,Not Available,16,Same as the national average,,Not Available,16,Not Available,5,Not Available,16,Not Available,16,
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,(907) 452-8181,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,(907) 276-1131,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,
21301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,AK,99686,VALDEZ-CORDOVA,(907) 835-2249,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Same as the national average,,Not Available,16,
21304,PETERSBURG MEDICAL CENTER,PO BOX 589,PETERSBURG,AK,99833,PETERSBURG BOROUGH,(907) 772-4291,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,5,Not Available,16,
21308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,NOME,(907) 443-3311,Critical Access Hospitals,Tribal,Yes,,Not Available,16,Not Available,5,Not Available,16,Same as the national average,,Not Available,16,Not Available,16,Not Available,16,Not Available,16,
21313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,HOMER,AK,99603,KENAI PENINSULA,(907) 235-8101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Not Available,5,Not Available,16,Same as the national average,,Above the national average,,Same as the national average,,Not Available,5,Same as the national average,,
2014,Bassett ACH (FT Wainwright),4076 Neely Road,Fort Wainwright,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,Acute Care - Department of Defense,Department of Defense,Yes,,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,
21302,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",SEWARD,AK,99664,KENAI PENINSULA,(907) 224-5205,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Same as the national average,,Not Available,5,
21307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,VALDEZ-CORDOVA,(907) 424-8000,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Above the national average,,Not Available,16,
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,BETHEL,(907) 543-6300,Acute Care Hospitals,Tribal,Yes,Y,3,17,Same as the national average,,Not Available,5,Above the national average,,Below the national average,,Same as the national average,,Not Available,5,Not Available,16,
21310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARTIC BOROUGH,(907) 442-3321,Critical Access Hospitals,Tribal,Yes,,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,5,
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,MATANUSKA-SUSITNA,(907) 861-6000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,ANCHORAGE,(907) 562-2211,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,JUNEAU,(907) 796-8900,Acute Care Hospitals,Government - Local,Yes,Y,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,KODIAK ISLAND BOROUGH,(907) 486-9592,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,Not Available,16,Not Available,5,Not Available,16,Same as the national average,,Not Available,16,Not Available,16,Not Available,16,Not Available,5,
24002,ALASKA PSYCHIATRIC INSTITUTE,3700 PIPER STREET,ANCHORAGE,AK,99508,ANCHORAGE,(907) 269-7100,Psychiatric,Government - State,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
