latitude,longitude,Name,ADDRESS,Phone,MEDICARE_PROVIDER_ID,NATIONAL_PROVIDER_ID,WEBSITE,PROVIDER_TYPE,OWNERSHIP,BEDS
44.951954,-93.262248,abbott northwestern hospital,"800 East 28th Street, Minneapolis, MN, 55407",(612) 863-4457,240057,1760446256,https://www.allinahealth.org/Abbott-Northwestern-Hospital/,Acute Care Hospitals,Voluntary non-profit - Private,996
33.524116,-112.101934,abrazo central campus,"2000 West Bethany Home Road, Phoenix, AZ, 85015",(602) 249-0212,30030,1477537363,https://www.abrazohealth.com/our-locations/abrazo-central-campus,Acute Care Hospitals,Physician,206
33.640603,-111.997692,abrazo scottsdale campus,"3929 East Bell Road, Phoenix, AZ, 85032",(602) 923-5000,30083,1326022732,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus,Acute Care Hospitals,Proprietary,136
33.464283,-112.354024,abrazo west campus,"13677 West Mcdowell Road, Goodyear, AZ, 85395",(623) 882-1970,30110,1093791170,https://www.abrazohealth.com/our-locations/abrazo-west-campus,Acute Care Hospitals,Proprietary,200
40.8085788,-79.5614577,acmh hospital,"One Nolte Drive, Kittanning, PA, 16201",(724) 543-8500,390163,1568577724,http://www.acmh.org/,Acute Care Hospitals,Voluntary non-profit - Private,154
44.344548,-74.144597,adirondack medical center,"2233 State Route 86, Saranac Lake, NY, 12983",(518) 891-4141,330079,1699709576,https://www.adirondackhealth.org/,Acute Care Hospitals,Voluntary non-profit - Other,95
31.11335,-97.799519,adventhealth central texas,"2201 South Clear Creek Road, Killeen, TX, 76549",(254) 526-7523,450152,1629089966,https://www.adventhealth.com/hospital/adventhealth-central-texas,Acute Care Hospitals,Voluntary non-profit - Church,232
28.348587,-82.201685,adventhealth dade city,"13100 Fort King Road, Dade City, FL, 33525",(352) 568-3174,100211,1215444054,https://www.adventhealth.com/hospital/adventhealth-dade-city,Acute Care Hospitals,Proprietary,120
29.24275,-81.1093,adventhealth daytona beach,"301 Memorial Medical Parkway, Daytona Beach, FL, 32117",(386) 676-6000,100068,1063426823,https://www.adventhealth.com/hospital/adventhealth-daytona-beach,Acute Care Hospitals,Voluntary non-profit - Church,362
29.042613,-81.317205,adventhealth deland,"701 West Plymouth Avenue, Deland, FL, 32720",(386) 943-4772,100045,1649367269,https://www.adventhealth.com/hospital/adventhealth-deland,Acute Care Hospitals,Voluntary non-profit - Church,164
28.91129,-81.284122,adventhealth fish memorial,"1055 Saxon Boulevard, Orange City, FL, 32763",(386) 917-5000,100072,1700978558,https://www.adventhealth.com/hospital/adventhealth-fish-memorial,Acute Care Hospitals,Voluntary non-profit - Church,175
34.511878,-84.92537,adventhealth gordon,"1035 Red Bud Road, Calhoun, GA, 30701",(706) 629-2895,110023,1760402424,https://www.adventhealth.com/hospital/adventhealth-gordon,Acute Care Hospitals,Voluntary non-profit - Church,69
34.779951,-84.782125,adventhealth murray,"707 Old Dalton Ellijay Road, Chatsworth, GA, 30705",(706) 517-2031,110050,1750776571,https://www.adventhealth.com/hospital/adventhealth-murray,Acute Care Hospitals,Voluntary non-profit - Private,42
29.021174,-80.922903,adventhealth new smyrna beach,"401 Palmetto Street, New Smyrna Beach, FL, 32168",(386) 424-5100,100014,1871977942,https://www.adventhealth.com/hospital/adventhealth-new-smyrna-beach,Acute Care Hospitals,Voluntary non-profit - Church,109
