Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,MS STATE PUB SCH EMP 1389 C33,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,MEDICARE 2NDARY PAYR 1389 N00,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BLUE CROSS OP 1389 B14,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BLUE CROSS IN 1CHART 1389 S00,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BLUE CROSS 1389 B60,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BLUE CROSS 1389 B15,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BLUE CROSS 1389 B08,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BLUE ADVANTAGE 1389 M10,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC SUPPLEMENT 1389 B10,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC STATE OF AL 1389 B35,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC FEP OP 1389 B57,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC FED GOVT BASIC OP 1389 B59,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC FEB HO 1389 B03,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC BS OUT OF STATE 1389 S04,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC BS OUT OF STATE 1389 S02,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC BS OUT OF STATE 1389 S01,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC BS OF TEXAS 1389 S11,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC BS OF MISSISSIPPI 1389 S05,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC BS OF LOUISIANA 1389 S09,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC BS OF GEORGIA 1389 S08,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC BS OF FL 1389 S07,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC BS OF CALIFORNIA 1389 S06,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BC AL PUB ED EMP 1389 B02,750.00
Ascension Providence,Sleep,HCPCS 95810,Sleep study,-,AK,BCBS PGX MARKETPLACE 1389 B61,750.00
Ascension Providence,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,AK,MS STATE PUB SCH EMP 1389 C33,5351.00
Ascension Providence,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,AK,MEDICARE 2NDARY PAYR 1389 N00,5351.00
Ascension Providence,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,AK,BLUE CROSS OP 1389 B14,5351.00
Ascension Providence,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,AK,BLUE CROSS IN 1CHART 1389 S00,5351.00
Ascension Providence,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,AK,BLUE CROSS 1389 B60,5351.00
Ascension Providence,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,AK,BLUE CROSS 1389 B15,5351.00
Ascension Providence,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,AK,BLUE CROSS 1389 B08,5351.00
Ascension Providence,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,AK,BLUE ADVANTAGE 1389 M10,5351.00
