Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Baptist Medical Center East,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$201.00,AK,BEECHSTREET,251.25
Baptist Medical Center East,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$201.00,AK,CIGNA,274.70
Baptist Medical Center East,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$201.00,AK,FIRST HEALTH,234.50
Baptist Medical Center East,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$201.00,AK,HEALTH CHOICE,251.25
Baptist Medical Center East,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$201.00,AK,MULTIPLAN,251.25
Baptist Medical Center East,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$201.00,AK,HUMANA,251.25
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,AETNA,470.00
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,BEECHSTREET,620.25
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,BLUE ADVANTAGE,586.98
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,CIGNA,678.14
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,FIRST HEALTH,578.90
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,HEALTH CHOICE,620.25
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,MULTIPLAN,620.25
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,PHYSICIAN MUTUAL,586.98
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,HUMANA,620.25
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,HUMANA MEDICARE,616.33
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,HUMANA PEEHIP MEDICARE,657.42
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,UNITED HEALTHCARE,2213.00
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,UHC MEDICARE,645.68
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,VIVA HEALTH,395.00
Baptist Medical Center East,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$496.20,AK,VIVA MEDICARE,628.07
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,AETNA,470.00
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,BEECHSTREET,108.00
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,BLUE ADVANTAGE,61.30
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,CIGNA,444.00
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,FIRST HEALTH,100.80
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,HEALTH CHOICE,108.00
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,MULTIPLAN,108.00
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,PHYSICIAN MUTUAL,61.30
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,HUMANA,108.00
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,HUMANA MEDICARE,64.37
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,HUMANA PEEHIP MEDICARE,68.66
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,UNITED HEALTHCARE,301.00
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,UHC MEDICARE,67.43
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,VIVA HEALTH,395.00
Baptist Medical Center East,Emergency Care,HCPCS 99281,Emergency Level 1,$86.40,AK,VIVA MEDICARE,65.59
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,AETNA,470.00
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,BEECHSTREET,141.00
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,BLUE ADVANTAGE,112.67
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,CIGNA,444.00
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,FIRST HEALTH,131.60
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,HEALTH CHOICE,141.00
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,MULTIPLAN,141.00
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,PHYSICIAN MUTUAL,112.67
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,HUMANA,141.00
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,HUMANA MEDICARE,118.30
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,HUMANA PEEHIP MEDICARE,126.19
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,UNITED HEALTHCARE,301.00
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,UHC MEDICARE,123.94
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,VIVA HEALTH,395.00
Baptist Medical Center East,Emergency Care,HCPCS 99282,Emergency Level 2,$112.80,AK,VIVA MEDICARE,120.56
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,AETNA,470.00
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,BEECHSTREET,229.50
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,BLUE ADVANTAGE,196.65
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,CIGNA,1136.00
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,FIRST HEALTH,214.20
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,HEALTH CHOICE,229.50
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,MULTIPLAN,229.50
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,PHYSICIAN MUTUAL,196.65
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,HUMANA,229.50
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,HUMANA MEDICARE,206.48
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,HUMANA PEEHIP MEDICARE,220.25
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,UNITED HEALTHCARE,404.00
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,UHC MEDICARE,216.32
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,VIVA HEALTH,395.00
Baptist Medical Center East,Emergency Care,HCPCS 99283,Emergency Level 3,$183.60,AK,VIVA MEDICARE,210.42
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,AETNA,470.00
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,BEECHSTREET,321.00
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,BLUE ADVANTAGE,309.74
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,CIGNA,350.96
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,FIRST HEALTH,299.60
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,HEALTH CHOICE,321.00
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,MULTIPLAN,321.00
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,PHYSICIAN MUTUAL,309.74
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,HUMANA,321.00
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,HUMANA MEDICARE,325.23
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,HUMANA PEEHIP MEDICARE,346.91
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,UNITED HEALTHCARE,1156.00
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,UHC MEDICARE,340.71
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,VIVA HEALTH,395.00
Baptist Medical Center East,Emergency Care,HCPCS 99284,Emergency Level 4,$256.80,AK,VIVA MEDICARE,331.42
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,AETNA,470.00
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,BEECHSTREET,465.00
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,BLUE ADVANTAGE,444.21
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,CIGNA,508.40
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,FIRST HEALTH,434.00
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,HEALTH CHOICE,465.00
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,MULTIPLAN,465.00
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,PHYSICIAN MUTUAL,444.21
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,HUMANA,465.00
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,HUMANA MEDICARE,466.42
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,HUMANA PEEHIP MEDICARE,497.52
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,UNITED HEALTHCARE,1156.00
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,UHC MEDICARE,488.63
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,VIVA HEALTH,395.00
Baptist Medical Center East,Emergency Care,HCPCS 99285,Emergency Level 5,$372.00,AK,VIVA MEDICARE,475.30
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,AETNA,271.66
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,BEECHSTREET,216.75
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,BLUE CROSS,215.85
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,BLUE ADVANTAGE,115.66
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,CIGNA,236.98
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,FIRST HEALTH,202.30
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,HEALTH CHOICE,216.75
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,MULTIPLAN,216.75
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,PHYSICIAN MUTUAL,115.66
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,HUMANA,216.75
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,HUMANA MEDICARE,121.44
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,HUMANA PEEHIP MEDICARE,129.54
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,UNITED HEALTHCARE,203.75
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,UHC MEDICARE,127.23
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,VIVA HEALTH,130.05
Baptist Medical Center East,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$173.40,AK,VIVA MEDICARE,123.76
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,AETNA,110.92
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,BEECHSTREET,88.50
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,BLUE CROSS,195.47
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,BLUE ADVANTAGE,115.66
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,CIGNA,95.12
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,FIRST HEALTH,82.60
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,HEALTH CHOICE,88.50
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,MULTIPLAN,88.50
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,PHYSICIAN MUTUAL,115.66
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,HUMANA,88.50
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,HUMANA MEDICARE,121.44
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,HUMANA PEEHIP MEDICARE,129.54
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,UNITED HEALTHCARE,83.07
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,UHC MEDICARE,127.23
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,VIVA HEALTH,53.10
Baptist Medical Center East,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$70.80,AK,VIVA MEDICARE,123.76
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,AETNA,110.92
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,BEECHSTREET,88.50
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,BLUE CROSS,201.58
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,BLUE ADVANTAGE,115.66
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,CIGNA,95.12
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,FIRST HEALTH,82.60
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,HEALTH CHOICE,88.50
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,MULTIPLAN,88.50
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,PHYSICIAN MUTUAL,115.66
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,HUMANA,88.50
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,HUMANA MEDICARE,121.44
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,HUMANA PEEHIP MEDICARE,129.54
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,UNITED HEALTHCARE,83.07
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,UHC MEDICARE,127.23
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,VIVA HEALTH,53.10
Baptist Medical Center East,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.80,AK,VIVA MEDICARE,123.76
Baptist Medical Center East,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$144.00,AK,AETNA,225.60
Baptist Medical Center East,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$144.00,AK,BEECHSTREET,180.00
Baptist Medical Center East,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$144.00,AK,BLUE CROSS,201.58
Baptist Medical Center East,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$144.00,AK,BLUE ADVANTAGE,115.66
Baptist Medical Center East,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$144.00,AK,CIGNA,196.80
Baptist Medical Center East,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$144.00,AK,FIRST HEALTH,168.00
Baptist Medical Center East,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$144.00,AK,HEALTH CHOICE,180.00
