Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$7,734.56",AL,BLUE CROSS BLUE SHIELD PPO,775.98
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$7,734.56",AL,HUMANA MEDICARE ADVANTAGE,817.51
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,231.91",AL,HUMANA COMMERCIAL,790.09
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,231.91",AL,AETNA COMMERCIAL,334.42
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,231.91",AL,AETNA PPO,473.56
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,231.91",AL,BLUE CROSS BLUE SHIELD PPO,271.84
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,231.91",AL,CARESOURCE MANAGED MEDICAID,528.77
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,231.91",AL,CIGNA COMMERCIAL,326.94
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,231.91",AL,HUMANA MEDICARE ADVANTAGE,331.09
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,231.91",AL,UNITED HEALTHCARE COMMERCIAL,1156.16
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,231.91",AL,UNITED HEALTHCARE HMO,814.00
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,231.91",AL,UNITED HEALTHCARE MEDICARE ADVANTAGE,393.27
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,231.91",AL,UNITED HEALTHCARE PPO,609.61
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,231.91",AL,VIVA HEALTH MEDICARE ADVANTAGE,408.46
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,231.91",AL,HUMANA COMMERCIAL,790.09
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,231.91",AL,AETNA COMMERCIAL,334.42
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,231.91",AL,AETNA PPO,473.56
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,231.91",AL,BLUE CROSS BLUE SHIELD PPO,271.84
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,231.91",AL,CARESOURCE MANAGED MEDICAID,528.77
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,231.91",AL,CIGNA COMMERCIAL,326.94
Floyd Cherokee Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,231.91",AL,HUMANA MEDICARE ADVANTAGE,331.09
