Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Shelby Baptist Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$25,260.83",AL,Commercial Insurance hmo,4715.35
Shelby Baptist Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$25,260.83",AL,Commercial Insurance pos,4715.35
Shelby Baptist Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$25,260.83",AL,Commercial Insurance ppo,4715.35
Shelby Baptist Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$25,260.83",AL,Multiplan hmo,28628.94
Shelby Baptist Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$25,260.83",AL,Multiplan pos,28628.94
Shelby Baptist Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$25,260.83",AL,Multiplan ppo,28628.94
Shelby Baptist Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$25,260.83",AL,VIVA Health ppo,2357.68
Shelby Baptist Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$25,260.83",AL,VIVA Health hmo,2357.68
Shelby Baptist Medical Center,Speech,HCPCS 92507,Speech Therapy,"$3,895.30",AL,Commercial Insurance hmo,727.12
Shelby Baptist Medical Center,Speech,HCPCS 92507,Speech Therapy,"$3,895.30",AL,Commercial Insurance pos,727.12
Shelby Baptist Medical Center,Speech,HCPCS 92507,Speech Therapy,"$3,895.30",AL,Commercial Insurance ppo,727.12
Shelby Baptist Medical Center,Speech,HCPCS 92507,Speech Therapy,"$3,895.30",AL,Multiplan hmo,4414.67
Shelby Baptist Medical Center,Speech,HCPCS 92507,Speech Therapy,"$3,895.30",AL,Multiplan pos,4414.67
Shelby Baptist Medical Center,Speech,HCPCS 92507,Speech Therapy,"$3,895.30",AL,Multiplan ppo,4414.67
Shelby Baptist Medical Center,Speech,HCPCS 92507,Speech Therapy,"$3,895.30",AL,VIVA Health ppo,363.56
Shelby Baptist Medical Center,Speech,HCPCS 92507,Speech Therapy,"$3,895.30",AL,VIVA Health hmo,363.56
Shelby Baptist Medical Center,Speech,HCPCS 92610,Swallow Evaluation,"$7,206.32",AL,Commercial Insurance hmo,1345.18
Shelby Baptist Medical Center,Speech,HCPCS 92610,Swallow Evaluation,"$7,206.32",AL,Commercial Insurance pos,1345.18
Shelby Baptist Medical Center,Speech,HCPCS 92610,Swallow Evaluation,"$7,206.32",AL,Commercial Insurance ppo,1345.18
Shelby Baptist Medical Center,Speech,HCPCS 92610,Swallow Evaluation,"$7,206.32",AL,Multiplan hmo,8167.17
Shelby Baptist Medical Center,Speech,HCPCS 92610,Swallow Evaluation,"$7,206.32",AL,Multiplan pos,8167.17
Shelby Baptist Medical Center,Speech,HCPCS 92610,Swallow Evaluation,"$7,206.32",AL,Multiplan ppo,8167.17
Shelby Baptist Medical Center,Speech,HCPCS 92610,Swallow Evaluation,"$7,206.32",AL,VIVA Health ppo,672.59
Shelby Baptist Medical Center,Speech,HCPCS 92610,Swallow Evaluation,"$7,206.32",AL,VIVA Health hmo,672.59
Shelby Baptist Medical Center,Speech,HCPCS 92526,Swallow Treatment,"$2,826.47",AL,Commercial Insurance hmo,527.61
Shelby Baptist Medical Center,Speech,HCPCS 92526,Swallow Treatment,"$2,826.47",AL,Commercial Insurance pos,527.61
