Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,BCBS AL,133.40
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,UHC,610.06
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,AETNA,1346.40
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,CIGNA,558.48
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,HUMANA,465.99
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,COMM - VIVA HEALTH,1022.70
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,COMM - MULTIPLAN,254.34
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,WC AL DIR,1065.38
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,UHC MA,128.06
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,HUMANA MA,122.72
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,BCBS AL MA,126.28
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,HEALTHSPRING MA,135.17
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,AETNA/ COVENTRY MA,204.54
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$622.51,AL,VIVA HEALTH MA,135.17
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,BCBS AL,43.15
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,UHC,197.34
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,AETNA,435.52
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,CIGNA,180.65
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,HUMANA,150.74
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,COMM - VIVA HEALTH,330.81
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,COMM - MULTIPLAN,82.27
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,WC AL DIR,344.62
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,UHC MA,41.42
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,HUMANA MA,39.70
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,BCBS AL MA,40.85
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,HEALTHSPRING MA,43.73
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,AETNA/ COVENTRY MA,66.16
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99281,Emergency Level 1,$201.37,AL,VIVA HEALTH MA,43.73
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99282,Emergency Level 2,$482.66,AL,BCBS AL,103.43
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99282,Emergency Level 2,$482.66,AL,UHC,473.01
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99282,Emergency Level 2,$482.66,AL,AETNA,1043.93
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99282,Emergency Level 2,$482.66,AL,CIGNA,433.02
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99282,Emergency Level 2,$482.66,AL,HUMANA,361.31
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99282,Emergency Level 2,$482.66,AL,COMM - VIVA HEALTH,792.94
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99282,Emergency Level 2,$482.66,AL,COMM - MULTIPLAN,197.20
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99282,Emergency Level 2,$482.66,AL,WC AL DIR,826.04
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99282,Emergency Level 2,$482.66,AL,UHC MA,99.29
South Baldwin Regional Medical Cente,Emergency Care,HCPCS 99282,Emergency Level 2,$482.66,AL,HUMANA MA,95.15
