Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$805.15,AL,CIGNA HEALTH AND LIFE INSURANCE COMPANY Point of Service (POS),186.99
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$805.15,AL,UNITED HEALTHCARE INSURANCE COMPANY Point of Service (POS),897.00
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$805.15,AL,UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY INC Medicaid,190.21
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,UNITED HEALTHCARE INSURANCE COMPANY Point of Service (POS),321.05
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY INC Medicaid,185.27
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,"VIVA HEALTH, INC. Health Maintenance Organization",228.80
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,VIVA MEDICARE PLUS Health Maintenance Organization (HMO) Medicare Risk,190.72
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,AETNA Point of Service (POS),277.03
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,AETNA Preferred Provider Organization (PPO),269.12
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,BLUE CROSS BLUE SHIELD OF ALABAMA Preferred Provider Organization (PPO),196.10
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,CIGNA HEALTH AND LIFE INSURANCE COMPANY Point of Service (POS),226.64
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,CIGNA HEALTHSPRING Preferred Provider Organization (PPO),266.93
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,HUMANA INC. Medicaid,104.97
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,MAGNOLIA HEALTH PLAN INC. Medicaid,226.12
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,TRIWEST HEALTHCARE ALLIANCE Indemnity Insurance,233.58
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,UMR Preferred Provider Organization (PPO),382.54
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,UNITED HEALTHCARE INSURANCE COMPANY Exclusive Provider Organization (EPO),243.00
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,UNITED HEALTHCARE INSURANCE COMPANY Health Maintenance Organization (HMO) Medicare Risk,311.35
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$342.72,AL,UNITED HEALTHCARE INSURANCE COMPANY Medicaid,72.91
USA Health Children's & Women's Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$342.72,AL,UNITED HEALTHCARE INSURANCE COMPANY Point of Service (POS),321.05
