Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Bridgeway Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$2,200.00",AR,ACTIVE DUTY TRICARE,1103.00
Bridgeway Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$2,200.00",AR,AETNA,775.00
Bridgeway Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$2,200.00",AR,AMBETTER OF ARKANSAS,807.00
Bridgeway Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$2,200.00",AR,CHAMP VA,957.00
Bridgeway Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$2,200.00",AR,CIGNA BEHAVIORAL HEA,821.00
Bridgeway Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$2,200.00",AR,MEDICARE,740.00
Bridgeway Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$2,200.00",AR,NATURAL STATE RECOVE,900.00
Bridgeway Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$2,200.00",AR,UBH,800.00
Bridgeway Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$2,200.00",AR,BLUE CROSS BLUE SHIE,745.61
Bridgeway Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$2,200.00",AR,COUNSELING ASSOC/RSV,485.00
Bridgeway Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$2,200.00",AR,COUNSELING CLINIC-BE,485.00
Bridgeway Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$2,200.00",AR,COUNSELING SERVICE E,485.00
Bridgeway Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$2,200.00",AR,DHS - CONTRACT,770.00
Bridgeway Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$2,200.00",AR,MEDICAID PENDING,770.00
Bridgeway Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$2,200.00",AR,MEDICAID SECONDARY,770.00
Bridgeway Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$2,200.00",AR,MUNICIPAL HEALTH BEN,600.00
Bridgeway Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$2,200.00",AR,QUAL CHOCIE PO,745.93
Bridgeway Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$2,200.00",AR,TRICARE WEST HN,1129.50
Bridgeway Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$2,200.00",AR,UHC,800.00
Bridgeway Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$2,200.00",AR,UMR,730.00
Bridgeway Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$2,200.00",AR,VALUE OPTION,957.00
Bridgeway Hospital,Psychology,Rev Code 128,Rehab Room and Board Per Diem Rate,"$2,200.00",AR,ACTIVE DUTY TRICARE,1103.00
Bridgeway Hospital,Psychology,Rev Code 128,Rehab Room and Board Per Diem Rate,"$2,200.00",AR,AETNA,775.00
Bridgeway Hospital,Psychology,Rev Code 128,Rehab Room and Board Per Diem Rate,"$2,200.00",AR,AMBETTER OF ARKANSAS,807.00
Bridgeway Hospital,Psychology,Rev Code 128,Rehab Room and Board Per Diem Rate,"$2,200.00",AR,CIGNA BEHAVIORAL HEA,821.00
Bridgeway Hospital,Psychology,Rev Code 128,Rehab Room and Board Per Diem Rate,"$2,200.00",AR,MEDICARE,709.00
Bridgeway Hospital,Psychology,Rev Code 128,Rehab Room and Board Per Diem Rate,"$2,200.00",AR,UBH,800.00
