Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Drew Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$47.07,AR,Aetna: All,139.46
Drew Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$47.07,AR,Ambetter of Arkansas: All,75.58
Drew Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$47.07,AR,Blue Cross Blue Shield of AR: Default,166.19
Drew Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$47.07,AR,Humana: All,65.74
Drew Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$47.07,AR,Medicare A AR JH: All,65.06
Drew Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$47.07,AR,Summit Community Care: All,51.00
Drew Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$47.07,AR,United Healthcare: Default,75.37
Drew Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$47.07,AR,United Healthcare: Medicare Advantage,65.61
Drew Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$86.37,AR,Ambetter of Arkansas: All,138.82
Drew Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$86.37,AR,Blue Cross Blue Shield of AR: Default,303.91
Drew Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$86.37,AR,Medicare A AR JH: All,119.04
Drew Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$86.37,AR,Summit Community Care: All,51.00
Drew Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$86.37,AR,United Healthcare: Default,125.73
Drew Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$86.37,AR,United Healthcare: Medicare Advantage,120.42
Drew Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$150.52,AR,Aetna: All,327.63
Drew Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$150.52,AR,Ambetter of Arkansas: All,241.50
Drew Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$150.52,AR,Blue Cross Blue Shield of AR: Default,529.61
Drew Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$150.52,AR,Cigna: All,345.97
Drew Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$150.52,AR,Humana: All,209.69
Drew Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$150.52,AR,Medicare A AR JH: All,208.90
Drew Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$150.52,AR,Summit Community Care: All,51.00
Drew Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$150.52,AR,UMR United Medical Resources: All,475.89
Drew Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$150.52,AR,United Healthcare: Default,60.08
