Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Encompass Health Rehabilitation Hospital of Jonesboro,Blood,HCPCS 85610,"Blood test, clotting time",$21.00,AR,CAREWORKS (CRW),22.40
Encompass Health Rehabilitation Hospital of Jonesboro,Blood,HCPCS 85610,"Blood test, clotting time",$21.00,AR,CAREWORKS WORK COMP (CRWW),23.52
Encompass Health Rehabilitation Hospital of Jonesboro,Blood,HCPCS 85610,"Blood test, clotting time",$21.00,AR,MULTIPLAN (MUL),19.60
Encompass Health Rehabilitation Hospital of Jonesboro,Blood,HCPCS 85610,"Blood test, clotting time",$21.00,AR,ZELIAS NETWORK SOLUTIONS (ZNS),22.40
Encompass Health Rehabilitation Hospital of Jonesboro,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$33.75,AR,CAREWORKS (CRW),36.00
Encompass Health Rehabilitation Hospital of Jonesboro,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$33.75,AR,CAREWORKS WORK COMP (CRWW),37.80
Encompass Health Rehabilitation Hospital of Jonesboro,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$33.75,AR,MULTIPLAN (MUL),31.50
Encompass Health Rehabilitation Hospital of Jonesboro,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$33.75,AR,ZELIAS NETWORK SOLUTIONS (ZNS),36.00
Encompass Health Rehabilitation Hospital of Jonesboro,Blood,HCPCS 85027,"Complete blood count, automated",$29.25,AR,CAREWORKS (CRW),31.20
Encompass Health Rehabilitation Hospital of Jonesboro,Blood,HCPCS 85027,"Complete blood count, automated",$29.25,AR,CAREWORKS WORK COMP (CRWW),32.76
Encompass Health Rehabilitation Hospital of Jonesboro,Blood,HCPCS 85027,"Complete blood count, automated",$29.25,AR,MULTIPLAN (MUL),27.30
Encompass Health Rehabilitation Hospital of Jonesboro,Blood,HCPCS 85027,"Complete blood count, automated",$29.25,AR,ZELIAS NETWORK SOLUTIONS (ZNS),31.20
Encompass Health Rehabilitation Hospital of Jonesboro,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$64.50,AR,CAREWORKS (CRW),68.80
Encompass Health Rehabilitation Hospital of Jonesboro,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$64.50,AR,CAREWORKS WORK COMP (CRWW),72.24
Encompass Health Rehabilitation Hospital of Jonesboro,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$64.50,AR,MULTIPLAN (MUL),60.20
Encompass Health Rehabilitation Hospital of Jonesboro,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$64.50,AR,ZELIAS NETWORK SOLUTIONS (ZNS),68.80
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$36.00,AR,CAREWORKS (CRW),38.40
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$36.00,AR,CAREWORKS WORK COMP (CRWW),40.32
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$36.00,AR,MULTIPLAN (MUL),33.60
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$36.00,AR,ZELIAS NETWORK SOLUTIONS (ZNS),38.40
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$43.50,AR,CAREWORKS (CRW),46.40
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$43.50,AR,CAREWORKS WORK COMP (CRWW),48.72
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$43.50,AR,MULTIPLAN (MUL),40.60
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$43.50,AR,ZELIAS NETWORK SOLUTIONS (ZNS),46.40
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$51.00,AR,CAREWORKS (CRW),54.40
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$51.00,AR,CAREWORKS WORK COMP (CRWW),57.12
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$51.00,AR,MULTIPLAN (MUL),47.60
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$51.00,AR,ZELIAS NETWORK SOLUTIONS (ZNS),54.40
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$36.75,AR,CAREWORKS (CRW),39.20
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$36.75,AR,CAREWORKS WORK COMP (CRWW),41.16
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$36.75,AR,MULTIPLAN (MUL),34.30
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$36.75,AR,ZELIAS NETWORK SOLUTIONS (ZNS),39.20
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$35.25,AR,CAREWORKS (CRW),37.60
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$35.25,AR,CAREWORKS WORK COMP (CRWW),39.48
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$35.25,AR,MULTIPLAN (MUL),32.90
Encompass Health Rehabilitation Hospital of Jonesboro,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$35.25,AR,ZELIAS NETWORK SOLUTIONS (ZNS),37.60
Encompass Health Rehabilitation Hospital of Jonesboro,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$18.75,AR,CAREWORKS (CRW),20.00
Encompass Health Rehabilitation Hospital of Jonesboro,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$18.75,AR,CAREWORKS WORK COMP (CRWW),21.00
Encompass Health Rehabilitation Hospital of Jonesboro,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$18.75,AR,MULTIPLAN (MUL),17.50
Encompass Health Rehabilitation Hospital of Jonesboro,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$18.75,AR,ZELIAS NETWORK SOLUTIONS (ZNS),20.00
Encompass Health Rehabilitation Hospital of Jonesboro,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$18.75,AR,CAREWORKS (CRW),20.00
Encompass Health Rehabilitation Hospital of Jonesboro,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$18.75,AR,CAREWORKS WORK COMP (CRWW),21.00
Encompass Health Rehabilitation Hospital of Jonesboro,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$18.75,AR,MULTIPLAN (MUL),17.50
Encompass Health Rehabilitation Hospital of Jonesboro,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$18.75,AR,ZELIAS NETWORK SOLUTIONS (ZNS),20.00
Encompass Health Rehabilitation Hospital of Jonesboro,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$18.75,AR,CAREWORKS (CRW),20.00
Encompass Health Rehabilitation Hospital of Jonesboro,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$18.75,AR,CAREWORKS WORK COMP (CRWW),21.00
Encompass Health Rehabilitation Hospital of Jonesboro,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$18.75,AR,MULTIPLAN (MUL),17.50
Encompass Health Rehabilitation Hospital of Jonesboro,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$18.75,AR,ZELIAS NETWORK SOLUTIONS (ZNS),20.00
Encompass Health Rehabilitation Hospital of Jonesboro,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,AR,CAREWORKS (CRW),132.80
Encompass Health Rehabilitation Hospital of Jonesboro,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,AR,CAREWORKS WORK COMP (CRWW),139.44
Encompass Health Rehabilitation Hospital of Jonesboro,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,AR,MULTIPLAN (MUL),116.20
Encompass Health Rehabilitation Hospital of Jonesboro,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,AR,ZELIAS NETWORK SOLUTIONS (ZNS),132.80
Encompass Health Rehabilitation Hospital of Jonesboro,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$813.00,AR,CAREWORKS (CRW),867.20
Encompass Health Rehabilitation Hospital of Jonesboro,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$813.00,AR,CAREWORKS WORK COMP (CRWW),910.56
Encompass Health Rehabilitation Hospital of Jonesboro,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$813.00,AR,MULTIPLAN (MUL),758.80
Encompass Health Rehabilitation Hospital of Jonesboro,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$813.00,AR,ZELIAS NETWORK SOLUTIONS (ZNS),867.20
Encompass Health Rehabilitation Hospital of Jonesboro,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$1,419.75",AR,CAREWORKS (CRW),1514.40
Encompass Health Rehabilitation Hospital of Jonesboro,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$1,419.75",AR,CAREWORKS WORK COMP (CRWW),1590.12
