Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Blood,HCPCS 85610,"Blood test, clotting time",$14.25,AR,CAREWORKS (CRW),15.20
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Blood,HCPCS 85610,"Blood test, clotting time",$14.25,AR,CAREWORKS WORK COMP (CRWW),15.96
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Blood,HCPCS 85610,"Blood test, clotting time",$14.25,AR,RISK MANAGEMENT ASSOC (RMAW),16.15
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Blood,HCPCS 85610,"Blood test, clotting time",$14.25,AR,ZELIAS NETWORK SOLUTIONS (ZNS),15.20
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$28.50,AR,CAREWORKS (CRW),30.40
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$28.50,AR,CAREWORKS WORK COMP (CRWW),31.92
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$28.50,AR,RISK MANAGEMENT ASSOC (RMAW),32.30
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$28.50,AR,ZELIAS NETWORK SOLUTIONS (ZNS),30.40
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Blood,HCPCS 85027,"Complete blood count, automated",$24.00,AR,CAREWORKS (CRW),25.60
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Blood,HCPCS 85027,"Complete blood count, automated",$24.00,AR,CAREWORKS WORK COMP (CRWW),26.88
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Blood,HCPCS 85027,"Complete blood count, automated",$24.00,AR,RISK MANAGEMENT ASSOC (RMAW),27.20
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Blood,HCPCS 85027,"Complete blood count, automated",$24.00,AR,ZELIAS NETWORK SOLUTIONS (ZNS),25.60
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$60.75,AR,CAREWORKS (CRW),64.80
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$60.75,AR,CAREWORKS WORK COMP (CRWW),68.04
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$60.75,AR,RISK MANAGEMENT ASSOC (RMAW),68.85
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$60.75,AR,ZELIAS NETWORK SOLUTIONS (ZNS),64.80
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$30.75,AR,CAREWORKS (CRW),32.80
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$30.75,AR,CAREWORKS WORK COMP (CRWW),34.44
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$30.75,AR,RISK MANAGEMENT ASSOC (RMAW),34.85
"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$30.75,AR,ZELIAS NETWORK SOLUTIONS (ZNS),32.80
