Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
National Park Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,AR,Arkansas Blue Cross and Blue Shield - (POS),194.24
National Park Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,AR,UNITED HEALTHCARE INSURANCE COMPANY - (HMO-MR),181.83
National Park Medical Center,Speech,HCPCS 92507,Speech Therapy,-,AR,Arkansas Blue Cross and Blue Shield - (POS),78.56
National Park Medical Center,Speech,HCPCS 92507,Speech Therapy,-,AR,ARKANSAS MEDICAID - (Medicaid),21.76
National Park Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,AR,AMBETTER - (HMO),112.10
National Park Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,AR,Arkansas Blue Cross and Blue Shield - (POS),40.74
National Park Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,AR,ARKANSAS BLUE CROSS AND BLUE SHIELD - (PPO),160.05
National Park Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,AR,HUMANA INC. - (HMO-MR),86.58
National Park Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,AR,UNITED HEALTHCARE INSURANCE COMPANY - (HMO-MR),82.46
National Park Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,AR,UNITED HEALTHCARE INSURANCE COMPANY - (POS),74.71
National Park Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,AR,AMBETTER - (HMO),113.85
National Park Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,AR,HUMANA INC. - (HMO-MR),87.24
National Park Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,AR,Arkansas Blue Cross and Blue Shield - (POS),2.89
National Park Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,AR,ARKANSAS MEDICAID - (Medicaid),3.38
National Park Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,AR,Arkansas Blue Cross and Blue Shield - (POS),2.89
National Park Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,AR,ARKANSAS BLUE CROSS AND BLUE SHIELD - (PPO),2.89
National Park Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,AR,ARKANSAS MEDICAID - (Medicaid),3.38
National Park Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,AR,HMO PARTNERS DBA HEALTH ADVANTAGE - (POS),2.89
National Park Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,AR,ARKANSAS MEDICAID - (Medicaid),18.39
National Park Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,AR,ABCBS DBA BLUEADVANTAGE ADMIN OF AR - (PPO),4.81
National Park Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,AR,AETNA - (POS),150.50
National Park Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,AR,AETNA - (PPO),121.26
National Park Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,AR,AMBETTER - (HMO),7.49
National Park Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,AR,Arkansas Blue Cross and Blue Shield - (POS),4.81
National Park Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,AR,ARKANSAS BLUE CROSS AND BLUE SHIELD - (PPO),4.81
National Park Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,AR,ARKANSAS MEDICAID - (Medicaid),5.61
National Park Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,AR,HMO PARTNERS DBA HEALTH ADVANTAGE - (POS),4.81
National Park Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,AR,HUMANA INC. - (HMO-MR),4.50
National Park Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,AR,UMR - (PPO),34.80
