Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,017.65",AR,AETNA COMMERCIAL,1428.05
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,017.65",AR,BLUECROSS BLUESHIELD COMMERCIAL,1238.61
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,017.65",AR,HARMONY HEALTH PLAN MEDICARE ADVANTAGE,213.95
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,017.65",AR,HUMANA MEDICARE ADVANTAGE,664.37
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,017.65",AR,UNITED HEALTHCARE MEDICARE ADVANTAGE,445.07
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$579.04,AR,AETNA COMMERCIAL,562.64
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$579.04,AR,AETNA PPO,317.21
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$579.04,AR,AMBETTER COMMERCIAL,282.77
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$579.04,AR,AMBETTER MANAGED MEDICAID,138.74
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$579.04,AR,BLUECROSS BLUESHIELD COMMERCIAL,475.24
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$579.04,AR,BLUECROSS BLUESHIELD MEDICARE ADVANTAGE,482.85
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$579.04,AR,CIGNA COMMERCIAL,187.60
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$579.04,AR,HARMONY HEALTH PLAN MEDICARE ADVANTAGE,189.71
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$579.04,AR,HUMANA MEDICARE ADVANTAGE,277.26
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$579.04,AR,UNITED HEALTHCARE COMMERCIAL,193.68
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$579.04,AR,UNITED HEALTHCARE MEDICARE ADVANTAGE,208.06
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$579.04,AR,AETNA COMMERCIAL,562.64
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$579.04,AR,AETNA PPO,317.21
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$579.04,AR,AMBETTER COMMERCIAL,282.77
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$579.04,AR,AMBETTER MANAGED MEDICAID,138.74
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$579.04,AR,BLUECROSS BLUESHIELD COMMERCIAL,475.24
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$579.04,AR,BLUECROSS BLUESHIELD MEDICARE ADVANTAGE,482.85
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$579.04,AR,CIGNA COMMERCIAL,187.60
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$579.04,AR,HARMONY HEALTH PLAN MEDICARE ADVANTAGE,189.71
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$579.04,AR,HUMANA MEDICARE ADVANTAGE,277.26
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$579.04,AR,UNITED HEALTHCARE COMMERCIAL,193.68
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$579.04,AR,UNITED HEALTHCARE MEDICARE ADVANTAGE,208.06
