Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Blue Cross,166.56
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,United HealthCare,165.64
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Blue Cross HIX,129.55
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Centene/Alliance,224.86
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Aetna,292.41
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,AmBetter HIX,110.12
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Cigna,140.65
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Humana (ChoiceCare),480.25
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Healthscope,255.39
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Multiplan,130.47
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Healthchoice,154.53
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Zelis,489.50
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,MO Medicaid,91.61
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Summit,58.30
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Empower/Access,57.37
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Humana Gold MA,105.49
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Aetna MA,76.80
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,United HealthCare MA,93.46
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Blue Cross MA,78.65
Willow Creek Women's Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$323.87,AR,Allwell-Centene,67.55
Willow Creek Women's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$201.80,AR,Blue Cross,103.78
