Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Alameda Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,CANOPY,2100.00
Alameda Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,CiGNA,2100.00
Alameda Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,KAISER PERMANENT PLAN 1 COMMERCIAL MEMBERS,2100.00
Alameda Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,UHC (Commercial),1400.00
Alameda Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,UHC (Select),1120.00
Alameda Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,BLUE SHIELD (Commercial),34.40
Alameda Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,BLUE SHIELD (EPN),29.21
Alameda Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,CANOPY,40.50
Alameda Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,CIGNA,40.50
Alameda Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,KAISER PERMANENTE (Commercial Plan),40.50
Alameda Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,UHC (Commercial),27.00
Alameda Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,UHC (Select),21.60
Alameda Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,CANOPY,4161.15
Alameda Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,CiGNA,4161.15
Alameda Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,KAISER PERMANENT PLAN 1 COMMERCIAL MEMBERS,4161.15
Alameda Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,UHC (Commercial),2774.10
Alameda Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,UHC (Select),2219.28
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA,AETNA (Commercial),40.50
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA,BLUE SHIELD (Commercial),34.40
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA,BLUE SHIELD (EPN),29.21
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA,CANOPY,40.50
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA,CIGNA,40.50
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA,KAISER PERMANENTE (Commercial Plan),40.50
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA,UHC (Commercial),27.00
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA,UHC (Select),21.60
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA,CANOPY,468.00
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA,CiGNA,468.00
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA,KAISER PERMANENT PLAN 1 COMMERCIAL MEMBERS,468.00
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA,UHC (Commercial),312.00
Alameda Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$312.00,CA,UHC (Select),249.60
Alameda Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$27.00,CA,AETNA (Commercial),40.50
Alameda Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$27.00,CA,BLUE SHIELD (Commercial),34.40
Alameda Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$27.00,CA,BLUE SHIELD (EPN),29.21
Alameda Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$27.00,CA,CANOPY,40.50
Alameda Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$27.00,CA,CIGNA,40.50
Alameda Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$27.00,CA,KAISER PERMANENTE (Commercial Plan),40.50
