Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$7,660.89",CA,MOLINA HEALTHCARE HMO,434.43
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$7,660.89",CA,INLAND EMPIRE HEALTH PLAN Health Maintenance Organization,1928.98
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$7,660.89",CA,INLAND FACULTY MEDICAL GROUP Health Maintenance Organization,318.25
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,741.24",CA,INLAND EMPIRE HEALTH PLAN Health Maintenance Organization,289.55
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,741.24",CA,INLAND FACULTY MEDICAL GROUP Health Maintenance Organization,223.75
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,741.24",CA,MOLINA HEALTHCARE HMO,318.06
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,741.24",CA,INLAND EMPIRE HEALTH PLAN Health Maintenance Organization,289.55
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,741.24",CA,INLAND FACULTY MEDICAL GROUP Health Maintenance Organization,223.75
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,741.24",CA,MOLINA HEALTHCARE HMO,318.06
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,741.24",CA,INLAND EMPIRE HEALTH PLAN Health Maintenance Organization,289.55
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,741.24",CA,INLAND FACULTY MEDICAL GROUP Health Maintenance Organization,223.75
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,741.24",CA,MOLINA HEALTHCARE HMO,318.06
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,741.24",CA,INLAND EMPIRE HEALTH PLAN Health Maintenance Organization,289.55
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,741.24",CA,INLAND FACULTY MEDICAL GROUP Health Maintenance Organization,223.75
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,741.24",CA,MOLINA HEALTHCARE HMO,318.06
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,741.24",CA,INLAND EMPIRE HEALTH PLAN Health Maintenance Organization,289.55
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,741.24",CA,INLAND FACULTY MEDICAL GROUP Health Maintenance Organization,223.75
Arrowhead Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,741.24",CA,MOLINA HEALTHCARE HMO,318.06
Arrowhead Regional Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$186.88,CA,INLAND FACULTY MEDICAL GROUP Health Maintenance Organization,35.96
Arrowhead Regional Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$186.88,CA,INLAND EMPIRE HEALTH PLAN Health Maintenance Organization,91.73
Arrowhead Regional Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$186.88,CA,MOLINA HEALTHCARE HMO,59.60
Arrowhead Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$186.88,CA,INLAND FACULTY MEDICAL GROUP Health Maintenance Organization,35.96
Arrowhead Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$186.88,CA,INLAND EMPIRE HEALTH PLAN Health Maintenance Organization,91.73
Arrowhead Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$186.88,CA,MOLINA HEALTHCARE HMO,59.60
Arrowhead Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$186.88,CA,INLAND FACULTY MEDICAL GROUP Health Maintenance Organization,35.96
Arrowhead Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$186.88,CA,INLAND EMPIRE HEALTH PLAN Health Maintenance Organization,91.73
Arrowhead Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$186.88,CA,MOLINA HEALTHCARE HMO,59.60
Arrowhead Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$186.88,CA,INLAND FACULTY MEDICAL GROUP Health Maintenance Organization,35.96
Arrowhead Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$186.88,CA,INLAND EMPIRE HEALTH PLAN Health Maintenance Organization,91.73
Arrowhead Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$186.88,CA,MOLINA HEALTHCARE HMO,59.60
Arrowhead Regional Medical Center,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$186.88,CA,INLAND FACULTY MEDICAL GROUP Health Maintenance Organization,35.96
Arrowhead Regional Medical Center,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$186.88,CA,INLAND EMPIRE HEALTH PLAN Health Maintenance Organization,91.73
Arrowhead Regional Medical Center,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$186.88,CA,MOLINA HEALTHCARE HMO,59.60
