Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Gross Charges,533.00
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Aetna Commercial Out of Network,490.36
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Aetna HMO/PPO,399.75
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Alignment Medicare Adv_ HMO / PPO,201.00
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Anthem Commercial Out of Network,469.04
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Anthem HMO/PPO,394.42
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Anthem Medicare Adv_ HMO / PPO,201.00
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Blue Shield Commercial Out of Network,506.35
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Blue Shield HMO / PPO,394.42
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Blue Shield Individual,314.47
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Blue Shield Medicare Adv_ HMO / PPO,201.00
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Blue Shield SFHSS,394.42
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Blue Shield Trio - SFHSS,367.77
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Chinese HP HMO,319.80
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Chinese HP PPO,421.07
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Cigna Commercial Out of Network,506.35
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Cigna HMO/PPO,399.75
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Health Net Commercial Out of Network,495.69
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Health Net HMO / PPO,394.42
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Health Net Medi-Cal / California Health & Wellness,89.65
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Health Net Medicare Adv_ HMO / PPO,201.00
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Health Plan of San Mateo,110.26
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,HealthSmart PPO,458.38
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Humana Medicare Adv_ HMO,201.00
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Multiplan PPO,469.04
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Partnership Health Plan,224.12
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,San Francisco Health Plan,125.51
California Pacific Medical Center - R.K. Davies Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$319.80,CA,Stanford Advantage Medicare Adv_ HMO,201.00
