Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Corona Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$881.60,CA,CALIFORNIA PHYSICIANS SERVICE DBA BLUE SHIELD CA,1608.00
Corona Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$881.60,CA,Inland Empire Health Plan,281.44
Corona Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$881.60,CA,KAISER FOUNDATION HEALTH PLAN INC,2727.17
Corona Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$881.60,CA,STATE OF CALIFORNIA - DEPARTMENT OF HEALTH CARE SERVICES,199.06
Corona Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$881.60,CA,TRICARE TDEFIC,1608.00
Corona Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,179.67",CA,ADMINISTRATIVE CONCEPTS INC,1553.21
Corona Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,179.67",CA,AETNA,2036.30
Corona Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,179.67",CA,ANTHEM BLUE CROSS,4306.75
Corona Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,179.67",CA,Alignment Health Plan,140.45
Corona Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,179.67",CA,BLUE CROSS OF CALIFORNIA (CA),6013.59
Corona Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,179.67",CA,CALIFORNIA PHYSICIANS SERVICE DBA BLUE SHIELD CA,2074.29
Corona Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,179.67",CA,CALOPTIMA,1466.51
Corona Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,179.67",CA,CENTRAL HEALTH PLAN OF CALIFO,722.46
Corona Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,179.67",CA,CORRESPONDENCE PAYER,19831.00
