Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Del Amo Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$1,890.00",CA,AETNA,1004.00
Del Amo Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$1,890.00",CA,AETNA  ATTN CLAIMS,1004.00
Del Amo Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$1,890.00",CA,BLUE SHIELD MHSA,1017.00
Del Amo Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$1,890.00",CA,HMC HEALTHCARE,1075.36
Del Amo Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$1,890.00",CA,HOLMAN GROUP,988.00
Del Amo Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$1,890.00",CA,KAISER PERMANENTE,979.00
Del Amo Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$1,890.00",CA,MANAGED HEALTH NETWO,1155.00
Del Amo Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$1,890.00",CA,UNITED BEHAVIORAL,979.00
Del Amo Hospital,Psychology,Rev Code 126,Detox Room and Board Per Diem Rate,"$1,890.00",CA,VETERANS ADMINISTRAT,943.16
Del Amo Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,890.00",CA,MAGELLAN,1017.00
Del Amo Hospital,Psychology,Rev Code 124,Psych Room and Board Per Diem Rate,"$1,890.00",CA,MCRE SR PLAN,943.16
