Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,AETNA COMMERCIAL,470.40
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,ANTHEM BLUE CROSS COMMERCIAL,654.33
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,ANTHEM BLUE CROSS COMMERCIAL INS EXCHANGE,964.32
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,BLUE SHIELD OF CA COMMERCIAL HMO/POS AND EPO/PPO,914.93
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,BLUE SHIELD PROMISE FKA CARE1ST HP MEDI-CAL,92.17
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,CHOICE CARE NETWORK (HUMANA) COMMERCIAL,823.20
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,EPIC HEALTH PLAN COMMERCIAL,588.00
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,HEALTH NET OF CA COMMERCIAL,588.00
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,HEALTH NET OF CA MEDI-CAL,92.17
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,HERITAGE VICTOR VALLEY MEDICAL GROUP MEDI-CAL,92.17
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,IEHP INLAND EMPIRE HEALTH PLAN MEDI-CAL,92.17
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,MOLINA HEALTHCARE OF CALIFORNIA MEDI-CAL,92.17
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,"PRIME HEALTH SERVICES, INC COMMERCIAL",1117.20
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,UNITED HEALTHCARE COMMERCIAL,678.55
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,UNITED HEALTHCARE COMMERCIAL (SELECT/CORE/ NAVIGATE),599.76
Desert Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,VANTAGE CARE MEDI-CAL,92.17
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,AETNA COMMERCIAL,1673.60
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,AETNA MEDICARE,772.98
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,AETNA WORKERS COMP,905.95
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,ALIGNMENT (FKA CITIZENS CHOICE HP),772.98
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,ANTHEM BLUE CROSS COMMERCIAL,1330.00
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,ANTHEM BLUE CROSS COMMERCIAL INS EXCHANGE,3430.88
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,ANTHEM BLUE CROSS MEDICARE,772.98
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,ANTHEM WORKERS COMP,905.95
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,"ASTIVA HEALTH, INC MEDICARE",772.98
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,BLUE SHIELD OF CA COMMERCIAL HMO/POS AND EPO/PPO,3255.15
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,BLUE SHIELD OF CA COMMERCIAL INS EXCHANGE,739.38
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,BLUE SHIELD OF CA MEDICARE,765.25
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,BLUE SHIELD OF CA TRIWEST HEALTHCARE ALLIANCE CORP. COMMUNITY CARE NETWORK VA,772.98
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,BLUE SHIELD PROMISE (FKA CARE1ST HP) DUALS,772.98
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,BLUE SHIELD PROMISE (FKA CARE1ST HP) MEDICARE,772.98
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,BLUE SHIELD PROMISE FKA CARE1ST HP MEDI-CAL,49.60
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,BRAND NEW DAY (UNIVERSAL CARE) MEDICARE,780.71
Desert Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,CHOICE CARE NETWORK (HUMANA) COMMERCIAL,2928.80
