Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Doctors Hospital - Manteca,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$41,298.48",CA,Alignment Health Plan ppo,2753.23
Doctors Hospital - Manteca,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$41,298.48",CA,Alignment Health Plan hmo,2753.23
Doctors Hospital - Manteca,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$41,298.48",CA,Commercial Insurance hmo,7709.05
Doctors Hospital - Manteca,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$41,298.48",CA,Commercial Insurance pos,7709.05
Doctors Hospital - Manteca,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$41,298.48",CA,Commercial Insurance ppo,7709.05
Doctors Hospital - Manteca,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$41,298.48",CA,health plan of san joaquin hmo,6057.11
Doctors Hospital - Manteca,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$41,298.48",CA,health plan of san joaquin pos,6057.11
Doctors Hospital - Manteca,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$41,298.48",CA,health plan of san joaquin ppo,6057.11
Doctors Hospital - Manteca,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$41,298.48",CA,Kaiser hmo,12664.87
Doctors Hospital - Manteca,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$41,298.48",CA,Kaiser pos,12664.87
Doctors Hospital - Manteca,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$41,298.48",CA,Kaiser epo,12664.87
Doctors Hospital - Manteca,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$41,298.48",CA,Kaiser ppo,12664.87
Doctors Hospital - Manteca,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$42,438.75",CA,Alignment Health Plan ppo,2829.25
Doctors Hospital - Manteca,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$42,438.75",CA,Alignment Health Plan hmo,2829.25
Doctors Hospital - Manteca,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$42,438.75",CA,Commercial Insurance hmo,7921.90
Doctors Hospital - Manteca,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$42,438.75",CA,Commercial Insurance pos,7921.90
Doctors Hospital - Manteca,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$42,438.75",CA,Commercial Insurance ppo,7921.90
Doctors Hospital - Manteca,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$42,438.75",CA,health plan of san joaquin hmo,6224.35
Doctors Hospital - Manteca,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$42,438.75",CA,health plan of san joaquin pos,6224.35
Doctors Hospital - Manteca,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$42,438.75",CA,health plan of san joaquin ppo,6224.35
Doctors Hospital - Manteca,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$42,438.75",CA,Kaiser hmo,13014.55
