Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Encompass Health Rehabilitation Hospital of Bakersfield,Blood,HCPCS 85610,"Blood test, clotting time",$27.75,CA,CAREWORKS (CRW),29.60
Encompass Health Rehabilitation Hospital of Bakersfield,Blood,HCPCS 85610,"Blood test, clotting time",$27.75,CA,CAREWORKS WORK COMP (CRWW),31.08
Encompass Health Rehabilitation Hospital of Bakersfield,Blood,HCPCS 85610,"Blood test, clotting time",$27.75,CA,ZELIAS NETWORK SOLUTIONS (ZNS),29.60
Encompass Health Rehabilitation Hospital of Bakersfield,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$36.75,CA,CAREWORKS (CRW),39.20
Encompass Health Rehabilitation Hospital of Bakersfield,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$36.75,CA,CAREWORKS WORK COMP (CRWW),41.16
Encompass Health Rehabilitation Hospital of Bakersfield,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$36.75,CA,ZELIAS NETWORK SOLUTIONS (ZNS),39.20
Encompass Health Rehabilitation Hospital of Bakersfield,Blood,HCPCS 85027,"Complete blood count, automated",$33.75,CA,CAREWORKS (CRW),36.00
Encompass Health Rehabilitation Hospital of Bakersfield,Blood,HCPCS 85027,"Complete blood count, automated",$33.75,CA,CAREWORKS WORK COMP (CRWW),37.80
Encompass Health Rehabilitation Hospital of Bakersfield,Blood,HCPCS 85027,"Complete blood count, automated",$33.75,CA,ZELIAS NETWORK SOLUTIONS (ZNS),36.00
Encompass Health Rehabilitation Hospital of Bakersfield,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$59.25,CA,CAREWORKS (CRW),63.20
Encompass Health Rehabilitation Hospital of Bakersfield,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$59.25,CA,CAREWORKS WORK COMP (CRWW),66.36
Encompass Health Rehabilitation Hospital of Bakersfield,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$59.25,CA,ZELIAS NETWORK SOLUTIONS (ZNS),63.20
Encompass Health Rehabilitation Hospital of Bakersfield,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$39.00,CA,CAREWORKS (CRW),41.60
Encompass Health Rehabilitation Hospital of Bakersfield,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$39.00,CA,CAREWORKS WORK COMP (CRWW),43.68
Encompass Health Rehabilitation Hospital of Bakersfield,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$39.00,CA,ZELIAS NETWORK SOLUTIONS (ZNS),41.60
Encompass Health Rehabilitation Hospital of Bakersfield,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$44.25,CA,CAREWORKS (CRW),47.20
Encompass Health Rehabilitation Hospital of Bakersfield,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$44.25,CA,CAREWORKS WORK COMP (CRWW),49.56
Encompass Health Rehabilitation Hospital of Bakersfield,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$44.25,CA,ZELIAS NETWORK SOLUTIONS (ZNS),47.20
Encompass Health Rehabilitation Hospital of Bakersfield,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$51.00,CA,CAREWORKS (CRW),54.40
Encompass Health Rehabilitation Hospital of Bakersfield,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$51.00,CA,CAREWORKS WORK COMP (CRWW),57.12
Encompass Health Rehabilitation Hospital of Bakersfield,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$51.00,CA,ZELIAS NETWORK SOLUTIONS (ZNS),54.40
Encompass Health Rehabilitation Hospital of Bakersfield,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$39.00,CA,CAREWORKS (CRW),41.60
Encompass Health Rehabilitation Hospital of Bakersfield,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$39.00,CA,CAREWORKS WORK COMP (CRWW),43.68
