Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Garden Grove Hospital Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,ABC COMMERCIAL,1165.90
Garden Grove Hospital Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,ABC HMO EXCHANGE,979.35
Garden Grove Hospital Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,AETNA COMMERCIAL,477.73
Garden Grove Hospital Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,CALOPTIMA ADULT MEDICAL,122.59
Garden Grove Hospital Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,CALOPTIMA MEDICAL,122.59
Garden Grove Hospital Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,COUNTY OF ORANGE MEDI-CAL,92.17
Garden Grove Hospital Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,HEALTHNET OF CA COMMERCIAL,597.17
Garden Grove Hospital Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,HEALTHNET OF CA MEDI-CAL,92.17
Garden Grove Hospital Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,MOLINA HEALTHCARE OF CA MEDI-CAL,92.17
Garden Grove Hospital Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,SINGAPORE AIRLINES COMMERCIAL,955.46
Garden Grove Hospital Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,UNITED HEALTH CARE COMMERCIAL,689.13
Garden Grove Hospital Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,UNITED HEALTH CARE COMMERCIAL(SELECT/CORE/NAVIGATE),609.11
Garden Grove Hospital Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$772.98,CA,ABC COMMERCIAL,1337.00
