Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,AETNA COMMERCIAL,54.00
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,ANTHEM BLUE CROSS MEDICAL,96.78
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,BLUE SHIELD PROMISE FKA CARE 1ST HP MEDI-CAL,92.17
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,HEALTH NET OF CA MEDI-CAL,92.17
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,HERITAGE PROVIDER NETWORK MEDI-CAL,92.17
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,AETNA COMMERCIAL,1480.04
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,ANTHEM BLUE CROSS MEDICAL,199.82
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,BLUE SHIELD PROMISE FKA CARE 1ST HP MEDI-CAL,190.30
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,HEALTH NET OF CA MEDI-CAL,190.30
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,HERITAGE PROVIDER NETWORK MEDI-CAL,190.30
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,AETNA COMMERCIAL,139.46
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,ANTHEM BLUE CROSS MEDICAL,52.08
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,BLUE SHIELD PROMISE FKA CARE 1ST HP MEDI-CAL,49.60
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,HEALTH NET OF CA MEDI-CAL,49.60
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,HERITAGE PROVIDER NETWORK MEDI-CAL,49.60
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$150.36,CA,AETNA COMMERCIAL,255.92
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$150.36,CA,AETNA MEDICARE,150.36
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$150.36,CA,AETNA WORKERS COMP,173.89
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$150.36,CA,ALIGNMENT FKA CITIZENS CHOICE HP MEDICARE,150.36
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$150.36,CA,ANTHEM BLUE CROSS MEDICAL,52.08
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$150.36,CA,BLUE SHIELD OF CA TRIWEST,150.36
Glendora Oaks Behavioral Health Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$150.36,CA,BLUE SHIELD PROMISE FKA CARE 1ST HP DUALS,150.36
