Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,BLUE CROSS MEDI-CAL,930.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,BLUE SHIELD PPO,5794.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,CARE FIRST MEDI-CAL/HEALTHY FAMILIES,652.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,EASY CHOICE SENIOR,1191.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,HEALTH NET MEDI-CAL,984.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,KAISER COMM/SENIOR,52033.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,KAISER SENIOR,1504.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,LA CARE MEDI-CAL/HF,1331.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,MOLINA MCAL/HF,234.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,BLUE SHIELD SENIOR,82.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,AETNA HMO,543.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,AETNA PPO,543.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,BLUE CROSS MCS,270.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,BLUE CROSS MEDI-CAL,28.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,BLUE CROSS NON-MCS,225.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,BLUE CROSS SELECT HMO,146.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,BLUE CROSS SR,82.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,BLUE CROSS VIVITY - NON CITY,99.00
Long Beach Memorial Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,BLUE SHIELD COVERED CALIFORNIA,281.00
