Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Los Alamitos Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$29,420.31",CA,Anthem ppo,2745.90
Los Alamitos Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$29,420.31",CA,Anthem hmo,2745.90
Los Alamitos Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$29,420.31",CA,Anthem epo,2745.90
Los Alamitos Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$29,420.31",CA,CalOptima hmo,1765.22
Los Alamitos Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$29,420.31",CA,CalOptima pos,1765.22
Los Alamitos Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$29,420.31",CA,CalOptima ppo,1765.22
Los Alamitos Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$29,420.31",CA,Kaiser hmo,2556.71
Los Alamitos Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$29,420.31",CA,Kaiser pos,2556.71
Los Alamitos Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$29,420.31",CA,Kaiser epo,2556.71
Los Alamitos Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$29,420.31",CA,Kaiser ppo,2556.71
Los Alamitos Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$27,119.38",CA,Anthem ppo,2531.14
Los Alamitos Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$27,119.38",CA,Anthem hmo,2531.14
Los Alamitos Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$27,119.38",CA,Anthem epo,2531.14
Los Alamitos Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$27,119.38",CA,CalOptima hmo,1627.16
Los Alamitos Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$27,119.38",CA,CalOptima pos,1627.16
Los Alamitos Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$27,119.38",CA,CalOptima ppo,1627.16
Los Alamitos Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$27,119.38",CA,Kaiser hmo,2783.90
Los Alamitos Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$27,119.38",CA,Kaiser pos,2783.90
Los Alamitos Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$27,119.38",CA,Kaiser epo,2783.90
Los Alamitos Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$27,119.38",CA,Kaiser ppo,2783.90
Los Alamitos Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,548.50",CA,Anthem ppo,144.53
Los Alamitos Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,548.50",CA,Anthem hmo,144.53
Los Alamitos Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,548.50",CA,Anthem epo,144.53
Los Alamitos Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,548.50",CA,CalOptima hmo,92.91
Los Alamitos Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,548.50",CA,CalOptima pos,92.91
Los Alamitos Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,548.50",CA,CalOptima ppo,92.91
Los Alamitos Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,548.50",CA,Kaiser hmo,206.47
Los Alamitos Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,548.50",CA,Kaiser pos,206.47
Los Alamitos Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,548.50",CA,Kaiser epo,206.47
Los Alamitos Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,548.50",CA,Kaiser ppo,206.47
Los Alamitos Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,092.81",CA,Anthem ppo,288.66
Los Alamitos Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,092.81",CA,Anthem hmo,288.66
Los Alamitos Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,092.81",CA,Anthem epo,288.66
Los Alamitos Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,092.81",CA,CalOptima hmo,185.57
Los Alamitos Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,092.81",CA,CalOptima pos,185.57
Los Alamitos Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,092.81",CA,CalOptima ppo,185.57
Los Alamitos Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,092.81",CA,Kaiser hmo,412.38
Los Alamitos Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,092.81",CA,Kaiser pos,412.38
Los Alamitos Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,092.81",CA,Kaiser epo,412.38
Los Alamitos Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,092.81",CA,Kaiser ppo,412.38
Los Alamitos Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,390.95",CA,Anthem ppo,689.82
Los Alamitos Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,390.95",CA,Anthem hmo,689.82
Los Alamitos Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,390.95",CA,Anthem epo,689.82
Los Alamitos Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,390.95",CA,CalOptima hmo,443.46
Los Alamitos Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,390.95",CA,CalOptima pos,443.46
Los Alamitos Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,390.95",CA,CalOptima ppo,443.46
Los Alamitos Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,390.95",CA,Kaiser hmo,985.46
Los Alamitos Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,390.95",CA,Kaiser pos,985.46
Los Alamitos Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,390.95",CA,Kaiser epo,985.46
Los Alamitos Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,390.95",CA,Kaiser ppo,985.46
Los Alamitos Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$8,154.72",CA,Anthem ppo,761.11
Los Alamitos Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$8,154.72",CA,Anthem hmo,761.11
Los Alamitos Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$8,154.72",CA,Anthem epo,761.11
Los Alamitos Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$8,154.72",CA,CalOptima hmo,489.28
Los Alamitos Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$8,154.72",CA,CalOptima pos,489.28
Los Alamitos Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$8,154.72",CA,CalOptima ppo,489.28
Los Alamitos Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$8,154.72",CA,Kaiser hmo,1087.30
Los Alamitos Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$8,154.72",CA,Kaiser pos,1087.30
Los Alamitos Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$8,154.72",CA,Kaiser epo,1087.30
Los Alamitos Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$8,154.72",CA,Kaiser ppo,1087.30
Los Alamitos Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,"$315,624.08",CA,Anthem ppo,29458.25
Los Alamitos Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,"$315,624.08",CA,Anthem hmo,29458.25
Los Alamitos Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,"$315,624.08",CA,Anthem epo,29458.25
Los Alamitos Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,"$315,624.08",CA,CalOptima hmo,18937.44
Los Alamitos Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,"$315,624.08",CA,CalOptima pos,18937.44
Los Alamitos Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,"$315,624.08",CA,CalOptima ppo,18937.44
Los Alamitos Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,"$315,624.08",CA,Kaiser hmo,42083.21
Los Alamitos Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,"$315,624.08",CA,Kaiser pos,42083.21
Los Alamitos Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,"$315,624.08",CA,Kaiser epo,42083.21
Los Alamitos Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,"$315,624.08",CA,Kaiser ppo,42083.21
Los Alamitos Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,081.27",CA,Anthem ppo,100.92
Los Alamitos Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,081.27",CA,Anthem hmo,100.92
Los Alamitos Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,081.27",CA,Anthem epo,100.92
Los Alamitos Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,081.27",CA,CalOptima hmo,64.88
Los Alamitos Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,081.27",CA,CalOptima pos,64.88
Los Alamitos Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,081.27",CA,CalOptima ppo,64.88
Los Alamitos Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,081.27",CA,Kaiser hmo,144.17
Los Alamitos Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,081.27",CA,Kaiser pos,144.17
Los Alamitos Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,081.27",CA,Kaiser epo,144.17
