Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
MarinHealth Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$360.50,CA,AETNA,104.06
MarinHealth Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$360.50,CA,CALIFORNIA PHYSICIANS SERVICE DBA BLUE SHIELD CA,452.79
MarinHealth Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$360.50,CA,GREATWESTHEALTHCARE-CIGNA,576.80
MarinHealth Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$360.50,CA,MERITAGE MEDICAL NETWORK,721.00
MarinHealth Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$360.50,CA,NORIDIAN JEA,44.68
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,AETNA,425.88
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,ANTHEM BC LIFE & HEALTH INS CO,513.42
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,BCBS FEP,716.43
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,BLUE CROSS OF CALIFORNIA (CA),859.50
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,CALIFORNIA PHYSICIANS SERVICE DBA BLUE SHIELD CA,405.05
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,CIGNA HEALTH AND LIFE INSURANCE COMPANY,403.34
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,GREATWESTHEALTHCARE-CIGNA,970.42
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,HEALTH NET LLC,1160.91
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,HUMAN AFFAIRS INTERNATIONAL OF CALIFORNIA,1646.88
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,KAISER FOUNDATION HEALTH PLAN INC,1079.26
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,MARINHEALTH MEDICAL CENTER,2405.47
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,MERITAGE MEDICAL NETWORK,1617.74
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,NORIDIAN JEA,227.58
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,UMR SUTTERSELECT,438.92
MarinHealth Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$713.94,CA,UNITED HEALTHCARE INSURANCE COMPANY,262.29
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,AETNA,615.63
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,ANTHEM BC LIFE & HEALTH INS CO,467.06
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,BCBS FEP,767.59
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,BLUE CROSS OF CALIFORNIA (CA),1301.00
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,CALIFORNIA PHYSICIANS SERVICE DBA BLUE SHIELD CA,617.22
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,CIGNA HEALTH AND LIFE INSURANCE COMPANY,823.85
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,GREATWESTHEALTHCARE-CIGNA,578.22
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,HEALTH NET LLC,1301.00
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,HUMANA INC.,1297.13
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,KAISER FOUNDATION HEALTH PLAN INC,911.80
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,MARINHEALTH MEDICAL CENTER,1872.20
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,MERITAGE MEDICAL NETWORK,1301.00
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,MUTUAL OF OMAHA COMPANIES CLAIMS DEPARTMENT,1301.00
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,NORIDIAN JEA,190.14
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,2.64
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,PGBALLC,115.01
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,UNITED HEALTHCARE INSURANCE COMPANY,44.35
MarinHealth Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$672.07,CA,UNITEDHEALTHCARE OF CALIFORNIA,1297.22
MarinHealth Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$781.12,CA,AETNA,437.94
MarinHealth Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$781.12,CA,ANTHEM BC LIFE & HEALTH INS CO,714.86
MarinHealth Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$781.12,CA,BCBS FEP,939.87
MarinHealth Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$781.12,CA,BLUE CROSS OF CALIFORNIA (CA),675.54
