Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$44,399.32",CA,Anthem ppo,59199.09
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$44,399.32",CA,Anthem hmo,59199.09
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$44,399.32",CA,Anthem epo,59199.09
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$44,399.32",CA,CalOptima hmo,1183.98
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$44,399.32",CA,CalOptima pos,1183.98
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$44,399.32",CA,CalOptima ppo,1183.98
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$44,399.32",CA,Commercial Insurance hmo,8287.87
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$44,399.32",CA,Commercial Insurance pos,8287.87
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$44,399.32",CA,Commercial Insurance ppo,8287.87
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$44,399.32",CA,Kaiser hmo,4735.93
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$44,399.32",CA,Kaiser pos,4735.93
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$44,399.32",CA,Kaiser epo,4735.93
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$44,399.32",CA,Kaiser ppo,4735.93
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$35,752.73",CA,Anthem ppo,47670.31
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$35,752.73",CA,Anthem hmo,47670.31
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$35,752.73",CA,Anthem epo,47670.31
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$35,752.73",CA,CalOptima hmo,953.41
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$35,752.73",CA,CalOptima pos,953.41
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$35,752.73",CA,CalOptima ppo,953.41
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$35,752.73",CA,Commercial Insurance hmo,6673.84
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$35,752.73",CA,Commercial Insurance pos,6673.84
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$35,752.73",CA,Commercial Insurance ppo,6673.84
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$35,752.73",CA,Kaiser hmo,3813.62
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$35,752.73",CA,Kaiser pos,3813.62
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$35,752.73",CA,Kaiser epo,3813.62
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$35,752.73",CA,Kaiser ppo,3813.62
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,978.28",CA,Anthem ppo,2637.70
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,978.28",CA,Anthem hmo,2637.70
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,978.28",CA,Anthem epo,2637.70
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,978.28",CA,CalOptima hmo,52.75
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,978.28",CA,CalOptima pos,52.75
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,978.28",CA,CalOptima ppo,52.75
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,978.28",CA,Commercial Insurance hmo,369.28
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,978.28",CA,Commercial Insurance pos,369.28
Placentia-Linda Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,978.28",CA,Commercial Insurance ppo,369.28
