Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,AETNA GATEKEEPER & NON-GATEKEEP,2212.18
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,AETNA HMO WHOLE HEALTH,2212.18
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,ANTHEM BX EFF 06 01 2020,26.35
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,ANTHEM BX EXCHG EFF 06 01 2020,26.35
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,BLUE SHIELD OF CA - HMO,2093.75
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,BLUE SHIELD PPO,2250.08
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,CHOICECARE NETWORK,3410.64
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,CIGNA,2662.19
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,HEALTH CARE PARTNERS - CIGNA,3552.75
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,HERITAGE PROVIDER NETWORK,1828.48
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,INTERPLAN,4263.30
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,MULTIPLAN PHCS,3410.64
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,PRIMECARE AETNA COMMERCIAL,2283.23
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,PROMED,1421.10
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,SP,2368.50
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,UNITED HEALTHCARE,2368.50
San Antonio Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,368.50",CA,UNITEDHEALTHCARE SELECT,2368.50
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,AETNA GATEKEEPER & NON-GATEKEEP,4608.82
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,AETNA HMO WHOLE HEALTH,4608.82
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,ANTHEM BX EFF 06 01 2020,54.89
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,ANTHEM BX EXCHG EFF 06 01 2020,54.89
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,BLUE SHIELD OF CA - HMO,4362.10
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,BLUE SHIELD PPO,4687.78
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,CHOICECARE NETWORK,7105.68
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,CIGNA,5546.38
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,HEALTH CARE PARTNERS - CIGNA,7401.75
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,HERITAGE PROVIDER NETWORK,3809.43
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,INTERPLAN,8882.10
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,MULTIPLAN PHCS,7105.68
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,PRIMECARE AETNA COMMERCIAL,4756.86
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,PROMED,2960.70
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,SP,4934.50
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,UNITED HEALTHCARE,4934.50
San Antonio Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,934.50",CA,UNITEDHEALTHCARE SELECT,4934.50
San Antonio Regional Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$329.50,CA,AETNA GATEKEEPER & NON-GATEKEEP,307.75
