Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
San Leandro Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,Blue Shield Commercial Plan,1783.60
San Leandro Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,Blue Shield EPN Plan,1514.80
San Leandro Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,CANOPY,2100.00
San Leandro Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,CiGNA,2100.00
San Leandro Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,KAISER PERMANENT PLAN 1 COMMERCIAL MEMBERS,2100.00
San Leandro Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,UHC (Commercial),1400.00
San Leandro Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,CANOPY,2100.00
San Leandro Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,CiGNA,2100.00
San Leandro Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,KAISER PERMANENT PLAN 1 COMMERCIAL MEMBERS,2100.00
San Leandro Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,UHC (Commercial),1400.00
San Leandro Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,400.00",CA,UHC (Select),1120.00
San Leandro Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,Blue Shield Commercial Plan,3534.20
San Leandro Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,Blue Shield EPN Plan,3001.58
San Leandro Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,CANOPY,4161.15
San Leandro Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,CiGNA,4161.15
San Leandro Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,KAISER PERMANENT PLAN 1 COMMERCIAL MEMBERS,4161.15
San Leandro Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,UHC (Commercial),2774.10
San Leandro Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,CANOPY,4161.15
San Leandro Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,CiGNA,4161.15
San Leandro Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,KAISER PERMANENT PLAN 1 COMMERCIAL MEMBERS,4161.15
San Leandro Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,774.10",CA,UHC (Commercial),2774.10
