Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,AETNA MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,ANTHEM BLUE CROSS MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,BLUE SHIELD MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,CARE 1ST,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,CHG CAL MEDICONNECT,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,COVENTRY MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,EASY CHOICE MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,GOLDEN STATE MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,HEALTH NET MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,HUMANA MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,KAISER MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,MOLINA MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,MOLINA MEDICONNECT,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,SCAN MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,ST. PAUL’S PACE MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,UNITED MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,UNIVERSAL CAREMA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA,VILLAGE HEALTH MA FFS,9763.43
Scripps Green Hospital,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),-,CA,AETNA MA FFS,11574.60
Scripps Green Hospital,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),-,CA,ANTHEM BLUE CROSS MA FFS,11574.60
Scripps Green Hospital,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),-,CA,BLUE SHIELD MA FFS,11574.60
Scripps Green Hospital,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),-,CA,CARE 1ST,11574.60
Scripps Green Hospital,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),-,CA,CHG CAL MEDICONNECT,11574.60
Scripps Green Hospital,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),-,CA,COVENTRY MA FFS,11574.60
Scripps Green Hospital,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),-,CA,EASY CHOICE MA FFS,11574.60
