Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Gross Charges,108.00
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Aetna Commercial Out of Network,99.36
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Aetna HMO/PPO,92.88
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Alignment Medicare Adv_ HMO / PPO,99.63
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Anthem Commercial Out of Network,91.80
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Anthem HMO/PPO,91.80
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Anthem Medi-Cal,6.18
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Anthem Medicare Adv_ HMO / PPO,99.63
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Blue Shield Commercial Out of Network,102.60
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Blue Shield HMO / PPO,91.80
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Blue Shield Individual,91.80
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Blue Shield Medicare Adv_ HMO / PPO,99.63
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Cigna Commercial Out of Network,102.60
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Cigna HMO/PPO,102.60
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Health Net Commercial Out of Network,100.44
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Health Net HMO / PPO,95.04
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Health Net Medi-Cal / California Health & Wellness,41.54
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Health Net Medicare Adv_ HMO / PPO,99.63
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,HealthSmart PPO,97.20
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Humana Medicare Adv_ HMO,99.63
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Multiplan PPO,97.20
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Stanford Advantage Medicare Adv_ HMO,99.63
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Sutter | Aetna Fully Insured,70.20
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,Sutter | Aetna Self Insured,74.52
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,United Commercial Out of Network,102.60
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,United HMO / POS,97.20
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,United Medicare Adv_ HMO,99.63
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,United PPO,97.20
Sutter Amador Hospital,Psychology,HCPCS 90853,Group psychotherapy,$86.40,CA,United Signature Value Alliance,97.20
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Gross Charges,372.00
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Aetna Commercial Out of Network,342.24
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Aetna HMO/PPO,319.92
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Alignment Medicare Adv_ HMO / PPO,177.98
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Anthem Commercial Out of Network,316.20
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Anthem HMO/PPO,316.20
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Anthem Medi-Cal,140.08
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Anthem Medicare Adv_ HMO / PPO,177.98
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Blue Shield Commercial Out of Network,353.40
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Blue Shield HMO / PPO,316.20
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Blue Shield Individual,316.20
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Blue Shield Medicare Adv_ HMO / PPO,177.98
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Cigna Commercial Out of Network,353.40
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Cigna HMO/PPO,353.40
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Health Net Commercial Out of Network,345.96
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Health Net HMO / PPO,327.36
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Health Net Medi-Cal / California Health & Wellness,196.04
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Health Net Medicare Adv_ HMO / PPO,177.98
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,HealthSmart PPO,334.80
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Humana Medicare Adv_ HMO,177.98
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Multiplan PPO,334.80
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Stanford Advantage Medicare Adv_ HMO,177.98
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Sutter | Aetna Fully Insured,241.80
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,Sutter | Aetna Self Insured,256.68
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,United Commercial Out of Network,353.40
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,United HMO / POS,334.80
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,United Medicare Adv_ HMO,177.98
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,United PPO,334.80
Sutter Amador Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$297.60,CA,United Signature Value Alliance,334.80
Sutter Amador Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$36.80,CA,Gross Charges,46.00
Sutter Amador Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$36.80,CA,Aetna Commercial Out of Network,42.32
Sutter Amador Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$36.80,CA,Aetna HMO/PPO,39.56
Sutter Amador Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$36.80,CA,Anthem Commercial Out of Network,39.10
Sutter Amador Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$36.80,CA,Anthem HMO/PPO,39.10
Sutter Amador Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$36.80,CA,Anthem Medi-Cal,2.62
