Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Gross Charges,273.00
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Aetna Commercial Out of Network,251.16
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Aetna HMO/PPO,234.78
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Anthem CalPERS EPO,223.86
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Anthem Commercial Out of Network,232.05
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Anthem HMO/PPO,232.05
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Blue Shield Commercial Out of Network,259.35
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Blue Shield HMO / PPO,232.05
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Blue Shield Individual,232.05
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Cigna Commercial Out of Network,259.35
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Cigna HMO/PPO,253.89
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Health Net Commercial Out of Network,253.89
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Health Net HMO / PPO,245.70
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,HealthSmart PPO,245.70
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Multiplan PPO,245.70
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Partnership Health Plan,285.25
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Sutter | Aetna Fully Insured,177.45
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,Sutter | Aetna Self Insured,188.37
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,United Commercial Out of Network,259.35
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,United HMO / POS,245.70
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,United PPO,245.70
Sutter Coast Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$218.40,CA,United Signature Value Alliance,245.70
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Gross Charges,316.00
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Aetna Commercial Out of Network,290.72
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Aetna HMO/PPO,271.76
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Anthem CalPERS EPO,259.12
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Anthem Commercial Out of Network,268.60
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Anthem HMO/PPO,268.60
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Blue Shield Commercial Out of Network,300.20
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Blue Shield HMO / PPO,268.60
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Blue Shield Individual,268.60
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Cigna Commercial Out of Network,300.20
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Cigna HMO/PPO,293.88
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Health Net Commercial Out of Network,293.88
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Health Net HMO / PPO,284.40
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,HealthSmart PPO,284.40
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Multiplan PPO,284.40
Sutter Coast Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$252.80,CA,Sutter | Aetna Fully Insured,205.40
