Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Gross Charges,46.00
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Aetna Commercial Out of Network,42.32
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Aetna HMO/PPO,34.50
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Anthem Commercial Out of Network,40.48
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Anthem HMO/PPO,34.04
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Anthem Medi-Cal,3.65
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Blue Shield Commercial Out of Network,43.70
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Blue Shield HMO / PPO,34.04
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Blue Shield Individual,27.14
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Cigna Commercial Out of Network,43.70
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Cigna HMO/PPO,34.50
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Health Net Commercial Out of Network,42.78
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Health Net HMO / PPO,34.04
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Health Net Medi-Cal / California Health & Wellness,4.75
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Health Plan of San Joaquin,4.44
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,HealthSmart PPO,39.56
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Multiplan PPO,40.48
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Sutter | Aetna Fully Insured,26.22
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Sutter | Aetna Self Insured,27.60
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,Sutter Health Plus HMO,28.98
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,United Commercial Out of Network,43.70
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,United HMO / POS,34.50
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,United PPO,34.96
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$27.60,CA,United Signature Value Alliance,27.60
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$46.20,CA,Gross Charges,77.00
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$46.20,CA,Aetna Commercial Out of Network,70.84
Sutter Tracy Community Memorial Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$46.20,CA,Aetna HMO/PPO,57.75
