Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,Anthem Blue Cross Commercial HMO ED,1546.00
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,CA,HealthNet Commercial HMO ED,1546.00
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,Anthem Blue Cross Commercial HMO ED,6185.00
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA,HealthNet Commercial HMO ED,6185.00
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,Anthem Blue Cross Commercial HMO ED,368.00
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA,HealthNet Commercial HMO ED,368.00
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99282,Emergency Level 2,-,CA,Anthem Blue Cross Commercial HMO ED,1099.00
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99282,Emergency Level 2,-,CA,HealthNet Commercial HMO ED,1099.00
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99283,Emergency Level 3,-,CA,Anthem Blue Cross Commercial HMO ED,2352.00
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99283,Emergency Level 3,-,CA,HealthNet Commercial HMO ED,2352.00
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99284,Emergency Level 4,-,CA,Anthem Blue Cross Commercial HMO ED,3728.00
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99284,Emergency Level 4,-,CA,HealthNet Commercial HMO ED,3728.00
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99285,Emergency Level 5,-,CA,Anthem Blue Cross Commercial HMO ED,17602.00
Zuckerberg San Francisco General Hospital & Trauma Center,Emergency Care,HCPCS 99285,Emergency Level 5,-,CA,HealthNet Commercial HMO ED,17602.00
