Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State,plan_name,price
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,AARP,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,AETNA PPO,345.58
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,ALLIED BENEFIT SYSTEMS,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,AMERICAN FAMILY LIFE-AFL,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,AMERICAN FIDELITY,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,AMERICAN POSTAL WORKERS,345.58
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,AMERICAN REPUBLIC INS CO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,AUTO INSURANCE,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,BANKERS LIFE AND CASLTY,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,BC LIFEPOINT,270.77
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,BLUE CROSS COLORADO,270.77
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,BLUE CROSS FEDERAL,270.77
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,BLUE CROSS MINNESOTA,270.77
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,BLUE CROSS OOS,270.77
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,CHAMPUS-TRICARE FOR LIFE,69.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,CHAMPVA  ACT DEP,69.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,CIGNA GWH PPO,345.58
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,CIGNA PPO,345.58
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,CLEAR BALANCE CSI FIN,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,CNIC HLTH SOL PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,COLORADO CHOICE PPO,320.64
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,CONNECTICUT GEN  LIFE,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,COVENTRY HEALTHCARE,345.58
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,COVENTRY HLTHCARE PPO,345.58
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,EQUITABLE,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,FORTIS PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,GOVT EMPLOYEES HLTH ASSO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,GPA-GROUP PENSION ASSOC,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,GREAT WEST LIFE PPO,345.58
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,GUARDIAN INSUR CO PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,HIX ANTHEM,270.77
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,HIX COL HLTH CO-OP,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,HIX HUMANA,345.58
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,HIX KAISER,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,HIX MISC,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,HIX ROCKY MOUNTAIN HMO,327.77
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,HIX UNITED,307.46
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,HUMANA PPO,345.58
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,JOHN ALDEN PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,KAISER PERMANENTE PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,MAILHANDLERS PPO,345.58
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,MERITAIN/AETNA,345.58
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,MISC PRIMARY COMM,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,MISC PRIMARY PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,MISC SECONDARY COMM,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,MMC HUMANA MEDICARE GRP,69.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,MMC KAISER MCR,69.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,MMC MISC,69.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,MMC PYRAMID LIFE,69.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,MMC SECURE HORIZONS HMO,69.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,MRA AUTO-LIABILTY,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,MUTUAL OF OMAHA,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,MUTUAL OF OMAHA PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,NALC PPO,345.58
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,NEW ERA LIFE INSURANCE COMPANY,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,NTL RURAL LETTER CAR PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,OXFORD HEALTH,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,PACIFICARE PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,PHYSICIANS MUTUAL,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,PRINCIPAL MUTUAL PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,PRIVATE HEALTH CARE SYS,345.58
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,PYRAMID LIFE,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,RESERVE NATIONAL LIFE PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,ROCKY MOUNTAIN HMO,327.77
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,STATE FARM PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,TEAMSTERS PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,TIME PPO,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,TRICARE PRIME,69.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,UCHEALTH PLAN ADMIN,302.83
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,UHC PPO,307.46
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,UMR MISC,307.46
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,UMR UNITED MED RESOUR,307.46
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,UNITED AMERICAN,356.27
Colorado Plains Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.02,CO,VA VETERANS ADMIN,69.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,AARP,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,AETNA PPO,557.26
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,ALLIED BENEFIT SYSTEMS,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,AMERICAN FAMILY LIFE-AFL,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,AMERICAN FIDELITY,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,AMERICAN POSTAL WORKERS,557.26
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,AMERICAN REPUBLIC INS CO,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,AUTO INSURANCE,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,BANKERS LIFE AND CASLTY,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,BC LIFEPOINT,436.62
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,BLUE CROSS COLORADO,436.62
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,BLUE CROSS FEDERAL,436.62
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,BLUE CROSS MINNESOTA,436.62
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,BLUE CROSS OOS,436.62
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,CHAMPUS-TRICARE FOR LIFE,127.74
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,CHAMPVA  ACT DEP,127.74
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,CIGNA GWH PPO,557.26
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,CIGNA PPO,557.26
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,CLEAR BALANCE CSI FIN,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,CNIC HLTH SOL PPO,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,COLORADO CHOICE PPO,517.05
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,CONNECTICUT GEN  LIFE,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,COVENTRY HEALTHCARE,557.26
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,COVENTRY HLTHCARE PPO,557.26
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,EQUITABLE,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,FORTIS PPO,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,GOVT EMPLOYEES HLTH ASSO,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,GPA-GROUP PENSION ASSOC,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,GREAT WEST LIFE PPO,557.26
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,GUARDIAN INSUR CO PPO,574.50
Colorado Plains Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$459.60,CO,HIX ANTHEM,436.62
